text,industry,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment,emotion,priority
it poor service,logistics,0,0,4,fallback_support,0,3,2
return product issue not resolved,logistics,0,0,7,refund,0,4,3
always late delivery not delivered at my location,logistics,0,0,0,delay,0,3,2
urgent consignment delivered late,logistics,1,0,0,delay,0,0,1
delivery not done,logistics,1,1,4,fallback_support,1,0,0
package intact,logistics,2,2,4,fallback_support,2,1,0
delivery timing coordination appreciated,logistics,1,1,4,fallback_support,2,0,0
very good behaviour,logistics,2,2,3,behaviour,2,1,0
during face to face delivery please talk politely with customer,logistics,1,1,4,fallback_support,2,0,0
address marked incorrect without confirmation,logistics,1,1,4,fallback_support,0,0,0
receive wrong product,logistics,0,0,4,fallback_support,0,3,2
delivery person update address not contactable,logistics,0,0,4,support,1,0,1
parcel received late,logistics,0,0,0,delay,0,3,2
didnt get my delivery yet,logistics,0,0,4,fallback_support,1,0,1
very fast efficient delivery,logistics,2,2,4,fallback_support,2,1,0
delivery facility very poor order misplaced,logistics,0,0,4,fallback_support,0,3,2
out for delivery as expected,logistics,1,1,4,fallback_support,1,0,0
delivery partner contact details needed,logistics,1,1,4,support,1,0,0
fine,logistics,1,1,4,fallback_support,1,0,0
share customer executive contact details,logistics,1,1,4,support,1,0,0
disappointed service,logistics,0,0,4,fallback_support,1,0,1
support team resolved issue quickly,logistics,2,0,4,support,0,1,0
bad service ever,logistics,0,0,4,fallback_support,0,3,2
no delivery service available had to collect personally,logistics,1,1,4,fallback_support,1,0,0
employee behaviour very good,logistics,2,2,3,behaviour,2,1,0
delivery person collected extra money,logistics,0,0,4,fallback_support,1,0,1
keep going great work,logistics,2,2,4,fallback_support,2,1,0
thanks for before time delivery,logistics,2,2,4,fallback_support,2,1,0
timely delivery polite delivery person,logistics,1,1,4,fallback_support,2,0,0
please deliver to my home address not nearby shop,logistics,1,1,4,fallback_support,1,0,0
delivery staff good but issue out of delivery msg come at pm order deliver at pm,logistics,1,0,4,fallback_support,0,1,0
delivery agent called appreciated,logistics,2,2,4,support,2,1,0
very good delivery boy,logistics,2,2,4,fallback_support,2,1,0
blue dart service always perfect,logistics,2,2,4,fallback_support,2,1,0
delivery after many days unacceptable delay,logistics,0,0,0,delay,0,3,2
yes,logistics,1,1,4,fallback_support,1,0,0
another order pending,logistics,1,1,4,fallback_support,0,2,1
NRO account not working for weeks unable to transfer money unclear process,logistics,0,0,4,fallback_support,1,0,1
blue dart always best,logistics,2,2,4,fallback_support,2,1,0
no responsible office staff,logistics,1,1,4,fallback_support,1,0,0
perfect,logistics,2,2,4,fallback_support,2,1,0
fantastic person,logistics,2,2,4,fallback_support,2,1,0
delivery partner waited due to customer delay,logistics,1,0,0,delay,0,2,2
delivery call handling poor,logistics,1,1,4,support,0,0,0
order incomplete received missing items,logistics,0,0,2,damage_lost,0,4,3
order delivery unreliable marked yesterday delivered today,logistics,0,0,4,fallback_support,1,0,1
please change my parsal,logistics,1,1,4,fallback_support,1,0,0
late service unacceptable delay,logistics,1,0,0,delay,0,2,2
didnt order this never placed order,logistics,0,0,4,fallback_support,1,0,1
worst company had to collect from office,logistics,0,0,4,fallback_support,0,3,2
didnt receive delivery very bad experience,logistics,0,0,4,fallback_support,0,3,2
do good,logistics,2,2,4,fallback_support,2,1,0
location information message,logistics,1,1,4,fallback_support,1,0,0
super person delivery,logistics,1,1,4,fallback_support,1,0,0
loan roi mis-selling complaint,logistics,0,0,4,support,0,3,2
super fast delivery,logistics,2,2,4,fallback_support,2,1,0
service excellent thanks delivery staff,logistics,2,2,4,fallback_support,2,1,0
wrong item given after otp,logistics,0,0,4,fallback_support,0,3,2
on time delivery good performance,logistics,2,2,4,fallback_support,2,1,0
smooth delivery,logistics,1,2,4,fallback_support,2,0,0
nice delivery service,logistics,2,2,4,fallback_support,2,1,0
please correct my name,logistics,1,1,4,fallback_support,1,0,0
overall smooth banking experience helpful staff,logistics,2,2,4,fallback_support,2,1,0
gentle man doorstep delivery,logistics,1,1,4,fallback_support,1,0,0
return product quality bad,logistics,1,0,7,refund,0,0,0
in my opinion,logistics,1,1,4,fallback_support,1,0,0
fast delivery good support,logistics,2,2,4,support,2,1,0
ordered white received black,logistics,1,1,4,fallback_support,1,0,0
service as per plan,logistics,1,1,4,fallback_support,1,0,0
service on time and good,logistics,2,2,4,fallback_support,2,1,0
rahul very professional as usual,logistics,2,2,4,fallback_support,2,1,0
received on scheduled time thank you,logistics,2,2,4,fallback_support,2,1,0
day deliver,logistics,1,1,4,fallback_support,1,0,0
delivery rules violated forced pickup from hub,logistics,0,0,0,delay,0,3,2
ohutdf,logistics,1,1,4,fallback_support,1,0,0
not deliver at mentioned address had to collect elsewhere,logistics,0,0,4,fallback_support,1,0,1
nice experience,logistics,2,2,4,fallback_support,2,1,0
wrong parcel delivered,logistics,0,0,4,fallback_support,0,3,2
bluedart delivering fraudulent products serious warning,logistics,0,0,4,fallback_support,1,4,3
professionalism,logistics,1,1,4,fallback_support,2,0,0
otp shared but parcel not received,logistics,0,0,2,damage_lost,0,4,3
need OTP system for delivery,logistics,1,1,4,fallback_support,1,0,0
fast good service,logistics,2,2,4,fallback_support,2,1,0
havent received order yet,logistics,0,0,4,fallback_support,1,0,1
request for credit card information,logistics,1,1,4,fallback_support,1,0,0
wrong product scam,logistics,0,0,4,fallback_support,0,4,3
good bank,logistics,2,2,4,fallback_support,2,1,0
delivery guy refused cancelled delivery,logistics,0,0,4,fallback_support,1,0,1
parcel late by day,logistics,1,0,0,delay,0,0,1
delivery marked without attempt,logistics,0,0,4,fallback_support,1,0,1
delay with false tracking info,logistics,1,0,0,delay,0,2,2
wel behave,logistics,1,1,4,fallback_support,1,0,0
product not delivered to me,logistics,0,0,4,fallback_support,0,3,2
bahot achha hai,logistics,1,1,4,fallback_support,1,0,0
never received call delivery not done,logistics,0,0,2,damage_lost,0,4,3
did not receive any parcel,logistics,0,0,2,damage_lost,0,4,3
wrong product sent want refund,logistics,0,0,7,refund,0,4,3
day late delivery always delayed,logistics,0,0,0,delay,0,3,2
go collect my own parcel they didnt even deliver after arrive two day before,logistics,0,0,4,fallback_support,1,0,1
delivery person very rude no civic sense,logistics,0,0,3,behaviour,0,3,2
wrong order received selfie stick replaced,logistics,1,0,4,fallback_support,0,0,0
abusive language product changed,logistics,1,1,4,fallback_support,1,0,0
delivery call before dispatch requested,logistics,1,1,4,support,1,0,0
pre diwali false delivery messages forced self pickup,logistics,0,0,4,fallback_support,1,0,1
very bad delayed delivery,logistics,0,0,0,delay,0,3,2
courier charges too high unfair,logistics,0,0,4,fallback_support,1,0,1
Excellent service and this is my first bank account in my career,logistics,2,2,4,fallback_support,2,1,0
not yet receive my parcel,logistics,1,1,4,fallback_support,1,0,0
delivery partner not supportive and wrong delivery,logistics,0,0,4,support,0,3,2
service commitment only words not action,logistics,1,1,4,fallback_support,1,0,0
very bad service no one responsible for shipment,logistics,0,0,4,fallback_support,0,3,2
office delivery failed despite prominent location,logistics,0,0,0,delay,0,3,2
wrong colour and size received,logistics,0,0,4,fallback_support,0,3,2
delivery returned by partner without reason,logistics,0,0,7,refund,0,4,3
excellent service by delivery partner,logistics,2,2,4,fallback_support,2,1,0
good logistics service no further comment,logistics,2,2,4,fallback_support,2,1,0
delivery staff rude not reached location,logistics,0,0,3,behaviour,0,3,2
Please open more branches at least one branch in every district,logistics,1,1,4,fallback_support,1,0,0
fraud shipper fake product issue,logistics,0,0,4,fallback_support,0,4,3
please collect alternate mobile number during booking,logistics,1,1,4,fallback_support,1,0,0
parcel not received but marked delivered,logistics,0,0,2,damage_lost,0,4,3
best service also really commendable thank you,logistics,2,2,4,fallback_support,2,1,0
extreme delivery delay,logistics,0,0,0,delay,0,3,2
plant damaged due to poor packing,logistics,1,0,2,damage_lost,0,3,3
very bad de,logistics,0,0,4,fallback_support,0,3,2
no grievance,logistics,1,1,4,support,1,0,0
status delivered but parcel not received,logistics,0,0,2,damage_lost,0,4,3
please deliver on time,logistics,1,1,4,fallback_support,2,0,0
parcel left at shop without delivery attempt,logistics,1,1,4,fallback_support,1,0,0
check your calls,logistics,1,1,4,support,1,0,0
packaging acceptable,logistics,1,1,4,fallback_support,1,0,0
pathetic experience but not abusive,logistics,1,1,4,fallback_support,1,0,0
very polite experienced delivery person,logistics,2,2,4,fallback_support,2,1,0
delivery service good,logistics,2,2,4,fallback_support,2,1,0
false delivery update rude supervisor behavior,logistics,0,0,3,behaviour,0,3,2
order not received yet,logistics,0,0,2,damage_lost,0,4,3
delivery updates should be frequent,logistics,1,1,4,fallback_support,1,0,0
delivery executive polite made my day,logistics,1,1,4,fallback_support,2,0,0
carton slightly damaged,logistics,1,0,2,damage_lost,0,3,3
delivery time incorrect,logistics,0,0,4,fallback_support,0,3,2
dont like service,logistics,0,0,4,fallback_support,1,0,1
delivery executive did not attempt delivery for days and marked false reasons,logistics,0,0,4,fallback_support,1,0,1
debit card not received overall banking experience good,logistics,2,2,2,damage_lost,0,1,0
it good delivery fast and safe,logistics,2,2,4,fallback_support,2,1,0
delivery boy calm nd vry humble im not able pick call still he deliver itom without any contact he find location that amaze so great experience,logistics,2,2,4,support,2,1,0
good bank account opening experience,logistics,2,2,4,fallback_support,2,1,0
transparent packaging requested,logistics,1,1,4,fallback_support,1,0,0
contact mentioned incorrect invoice issue,logistics,1,0,4,support,0,0,0
it not deliver medelivered wrong person,logistics,0,0,4,fallback_support,0,3,2
keep it up good work,logistics,2,2,4,fallback_support,2,1,0
product different from images shown,logistics,1,1,4,fallback_support,1,0,0
parcel came empty want refund,logistics,0,0,7,refund,0,4,3
delivery partner arrogant rude,logistics,0,0,3,behaviour,0,3,2
delivery person rude ruined experience,logistics,0,0,3,behaviour,0,3,2
pathetic poor service medicine not delivered despite express charge,logistics,0,0,4,fallback_support,0,3,2
best service in courier,logistics,2,2,4,fallback_support,2,1,0
bohot bekar delivery or bohot time liya h,logistics,1,1,4,fallback_support,1,0,0
prompt delivery,logistics,2,2,4,fallback_support,2,1,0
shipping sticker torn package opened,logistics,1,1,2,damage_lost,1,0,0
product missing and carton re-taped very bad practice,logistics,0,0,2,damage_lost,0,4,3
product bilkul bekar aya h mne kya suit mangaya tha or kya aya h bilkul suit alg or salwar plz return kariye,logistics,0,0,7,refund,0,4,3
love your agent behaviour,logistics,1,1,3,behaviour,1,0,0
marked delivered but not received at home,logistics,0,0,2,damage_lost,0,4,3
bekwas mujhe mila hi nahi order phir delivery kaise kar di,logistics,0,0,4,fallback_support,1,0,1
professional timely delivery approach,logistics,2,2,4,fallback_support,2,1,0
superfast delivery loved the service,logistics,2,2,4,fallback_support,2,1,0
delivery man collect money it free,logistics,1,1,4,fallback_support,1,0,0
delivery staff non cooperative rude tone,logistics,0,0,3,behaviour,0,3,2
cooperative very nice service,logistics,2,2,4,fallback_support,2,1,0
very third class service rude staff fake address reasons no home delivery,logistics,0,0,3,behaviour,0,3,2
fast account opening process,logistics,1,1,4,fallback_support,2,0,0
bad product receive,logistics,0,0,4,fallback_support,0,3,2
early delivery very good service,logistics,2,2,4,fallback_support,2,1,0
parcel received today,logistics,1,1,4,fallback_support,1,0,0
it perfect many thanks,logistics,2,2,4,fallback_support,2,1,0
delivery person waited but did not deliver properly,logistics,0,0,4,fallback_support,1,0,1
delivery representative rude response,logistics,0,0,3,behaviour,0,3,2
return order request,logistics,1,1,7,refund,1,0,0
courier did not deliver my shipment on time,logistics,0,0,4,fallback_support,2,0,1
received different product than ordered,logistics,0,0,4,fallback_support,1,0,1
delivery boy lazy forced office pickup unacceptable excuse,logistics,0,0,4,fallback_support,1,0,1
good service by delivery executive,logistics,2,2,4,fallback_support,2,1,0
delivery agent abusive language,logistics,0,0,4,fallback_support,1,0,1
received before expected delivery date,logistics,1,1,4,fallback_support,1,0,0
bank staff provided very good service,logistics,2,2,4,fallback_support,2,1,0
delivery time improvement required,logistics,1,1,4,fallback_support,1,0,0
ordered something else received something else,logistics,0,0,4,fallback_support,1,0,1
parcel arrived damaged,logistics,0,0,2,damage_lost,0,4,3
branch promised wealth account but did not deliver commitment poor experience,logistics,1,1,4,fallback_support,0,0,0
try faster delivery for critical shipments,logistics,1,1,4,fallback_support,2,0,0
delivery agent ignored instructions handed to security,logistics,0,0,4,fallback_support,1,0,1
wrong colour product received,logistics,1,0,4,fallback_support,0,0,0
service fine continue,logistics,1,1,4,fallback_support,1,0,0
did not receive one of two packages,logistics,0,0,2,damage_lost,0,4,3
bad and rough delivery,logistics,0,0,4,fallback_support,0,3,2
received message for order I never booked,logistics,0,0,4,fallback_support,1,0,1
worst service,logistics,0,0,4,fallback_support,0,3,2
request faster delivery time,logistics,1,1,4,fallback_support,2,0,0
delivery marked unavailable without call repeated issue,logistics,1,0,4,support,0,0,0
late delivery with false updates,logistics,0,0,0,delay,0,3,2
fast service but average experience,logistics,1,1,4,fallback_support,2,0,0
delivered in one day thank you,logistics,2,2,4,fallback_support,2,1,0
very poor experience,logistics,1,1,4,fallback_support,0,0,0
defected pc nikla,logistics,1,1,4,fallback_support,1,0,0
delivery boy sandeep rude behaviour,logistics,0,0,3,behaviour,0,3,2
delivery man abused refused to come upstairs,logistics,0,0,3,behaviour,1,0,2
havent receive my order,logistics,0,0,4,fallback_support,1,0,1
service ok,logistics,1,1,4,fallback_support,1,0,0
welcome kit sent to wrong address delay,logistics,1,0,1,wrong_delivery,0,2,2
material fraud issue reported,logistics,1,0,4,fallback_support,0,4,3
rude behaviour by delivery partner,logistics,0,0,3,behaviour,0,3,2
medicine order delay by day no communication that order delay,logistics,0,0,0,delay,0,3,2
service best staff helpful,logistics,2,2,4,fallback_support,2,1,0
hello,logistics,1,1,4,fallback_support,1,0,0
multiple delivery attempts without calling forced self pickup,logistics,0,0,4,support,1,0,1
delivery person have pleasant smile on his face which please see,logistics,2,2,4,fallback_support,2,1,0
delivery guy didnt deliver doorstep keep haggle come away from home also rude while talk,logistics,0,0,3,behaviour,0,3,2
had to go collect parcel,logistics,0,0,4,fallback_support,1,0,1
delivery partner could not reach address asked to pick courier from far location very poor service,logistics,0,0,4,fallback_support,0,3,2
bad delivery company,logistics,0,0,4,fallback_support,0,3,2
delivery agent stopped km before address,logistics,0,0,4,fallback_support,1,0,1
very good product,logistics,2,2,4,fallback_support,2,1,0
item not received yet,logistics,1,1,2,damage_lost,0,0,0
delivery partner very good,logistics,2,2,4,fallback_support,2,1,0
delivery person call confirm address,logistics,1,1,4,support,1,0,0
bad experience seal already open,logistics,0,0,4,fallback_support,0,3,2
my parcel arrived at blue dart store in november,logistics,1,1,4,fallback_support,1,0,0
delivery person rude left parcel,logistics,0,0,3,behaviour,0,3,2
bad experience order not received,logistics,0,0,2,damage_lost,0,4,3
shipment not delivered yet very important,logistics,1,0,0,delay,0,0,1
product missing,logistics,1,0,2,damage_lost,0,0,0
no additional comments,logistics,1,1,4,fallback_support,1,0,0
not doorstep delivery,logistics,0,0,4,fallback_support,1,0,1
wrong product material received used item after many follow ups,logistics,0,0,4,support,0,3,2
delivery boy took extra money,logistics,1,1,4,fallback_support,1,0,0
not received personally,logistics,0,0,2,damage_lost,0,4,3
delivery agent behaviour rude and impatient,logistics,0,0,3,behaviour,0,3,2
delivery speed worse than others,logistics,0,0,4,fallback_support,1,0,1
scamming people,logistics,0,0,4,fallback_support,1,4,3
blue dart courier service very bad and delayed,logistics,0,0,0,delay,0,3,2
delivery staff left parcel at security without verification,logistics,0,0,4,fallback_support,1,0,1
late delivery,logistics,1,0,0,delay,0,0,1
it very very bad experience with your coimbatore hubwhatever happen not first time similar incident take place four time so faryour delivery guy useless always give false reason for not deliver in this case they mention a address incomplete not correcti force collect from officeno proper response from your office at coimbatoreif this status of your delivery system,logistics,0,0,4,fallback_support,0,3,2
my name malini patel,logistics,1,1,4,fallback_support,1,0,0
delivery staff very good,logistics,2,2,4,fallback_support,2,1,0
blue dart delivery very poor product not delivered,logistics,0,0,4,fallback_support,0,3,2
everything good satisfied,logistics,2,2,4,fallback_support,2,1,0
delay reason address incorrect unacceptable,logistics,0,0,0,delay,0,3,2
polite prompt delivery person,logistics,1,1,4,fallback_support,2,0,0
iam not person,logistics,1,1,4,fallback_support,1,0,0
pathetic branch service,logistics,0,0,4,fallback_support,1,0,1
customer care and bank staff very friendly and helpful,logistics,2,2,4,support,2,1,0
false delivery attempts no call made,logistics,0,0,3,behaviour,1,0,2
always a pleasure,logistics,2,2,4,fallback_support,2,1,0
card otp taken but card not delivered,logistics,0,0,4,fallback_support,0,3,2
No changes required,logistics,1,1,4,fallback_support,1,0,0
very bad delivery no response from delivery boy,logistics,0,0,4,support,0,3,2
complaint against rude delivery rider,logistics,0,0,3,behaviour,0,3,2
please share delivery timing contact detail of delivery person,logistics,1,1,4,support,1,0,0
quick prompt follow up,logistics,2,2,4,support,2,1,0
poor service rude behaviour and wrong address delivery,logistics,1,0,1,wrong_delivery,0,3,2
excellent customer service always reliable,logistics,2,2,4,support,2,1,0
overall excellent service,logistics,2,2,4,fallback_support,2,1,0
bad quality,logistics,0,0,4,fallback_support,0,3,2
would like report issue regard my recent delivery delivery boy do not deliver order on time also provide incorrect information his officesystem regard delivery status,logistics,0,0,4,fallback_support,0,3,2
delivery before promised time appreciated,logistics,1,1,4,fallback_support,2,0,0
order dropped kilometers away and doorstep delivery denied rude behavior on call,logistics,0,0,3,behaviour,0,3,2
very poor service overall,logistics,0,0,4,fallback_support,0,3,2
devendra singh,logistics,1,1,4,fallback_support,1,0,0
very bad experience delayed delivery and very rude executive,logistics,0,0,0,delay,0,3,2
accha hai,logistics,1,1,4,fallback_support,1,0,0
delivery agent asked to collect from office,logistics,1,1,4,fallback_support,1,0,0
very good satisfy,logistics,2,2,4,fallback_support,2,1,0
very rude and uncooperative delivery agent shouted,logistics,0,0,3,behaviour,0,3,2
need more details,logistics,1,1,4,fallback_support,1,0,0
amazing order experience,logistics,2,2,4,fallback_support,2,1,0
do,logistics,1,1,4,fallback_support,1,0,0
delivery not attempted had to visit office,logistics,1,1,0,delay,1,0,1
delivery agent did not call falsely marked unavailable,logistics,1,1,3,behaviour,1,0,0
received wrong sunglass,logistics,1,0,4,fallback_support,0,0,0
delivery guy not polite,logistics,0,0,3,behaviour,2,0,2
wrong product delivered theft suspected,logistics,1,0,4,fallback_support,0,0,0
very good packaging and timing,logistics,2,2,4,fallback_support,2,1,0
still not received item,logistics,0,0,2,damage_lost,0,4,3
satyam kumar,logistics,1,1,4,fallback_support,1,0,0
attitude problem with delivery staff,logistics,1,0,4,fallback_support,0,0,0
"The survey link to provide feedback on opening the account has been sent even before the account being opened.

Inordinate delay in opening the account, while the online opening happened within few minutes.

",logistics,1,0,0,delay,0,2,2
service bed,logistics,1,1,4,fallback_support,1,0,0
very happy with service thank you,logistics,2,2,4,fallback_support,2,1,0
my parcel not delivered,logistics,0,0,4,fallback_support,0,3,2
track info not update properly,logistics,0,0,5,tracking,1,0,0
asked for full payment without change and behaved rudely,logistics,0,0,3,behaviour,0,3,2
no alternative contact used ivr flagged spam parcel delayed,logistics,0,0,0,delay,0,3,2
delivery boy not good,logistics,0,0,4,fallback_support,2,1,1
wrong item ordered,logistics,0,0,4,fallback_support,0,3,2
rude delivery behaviour late hub delivery,logistics,0,0,0,delay,0,3,2
no contact forced pickup,logistics,1,0,4,support,1,0,0
deliveey agent very good,logistics,2,2,4,fallback_support,2,1,0
excellent courier service best shipment,logistics,2,2,4,fallback_support,2,1,0
received different product than ordered,logistics,1,1,4,fallback_support,1,0,0
nothing to say,logistics,1,1,4,fallback_support,1,0,0
not bad,logistics,2,0,4,fallback_support,0,0,0
wrong envelope delivered,logistics,1,0,4,fallback_support,0,0,0
delivery guy helped despite address issue,logistics,2,0,4,fallback_support,0,0,0
package out for delivery but stayed at facility,logistics,1,1,4,fallback_support,1,0,0
did not get shipment,logistics,0,0,4,fallback_support,1,0,1
super service,logistics,2,2,4,fallback_support,2,1,0
delivered at security gate,logistics,1,1,4,fallback_support,1,0,0
Hey,logistics,1,1,4,fallback_support,1,0,0
please share approximate delivery time in message,logistics,1,1,4,fallback_support,1,0,0
bluedart service always up to mark,logistics,1,1,4,fallback_support,1,0,0
delivery person behave very nicely,logistics,2,2,4,fallback_support,2,1,0
size too small poor quality dress,logistics,0,0,4,fallback_support,0,3,2
delivery perfectly before time,logistics,2,2,4,fallback_support,2,1,0
colour changed bad,logistics,0,0,4,fallback_support,0,3,2
poor service delayed delivery,logistics,0,0,0,delay,0,3,2
delivery boy arrogant behaviour,logistics,0,0,3,behaviour,1,0,2
thank you for speedy delivery,logistics,2,2,4,fallback_support,2,1,0
firstly product arrive kollam pincode error message appear this badly affect delivery date,logistics,0,0,4,fallback_support,0,3,2
poor delivery manpower false customer unavailable status,logistics,0,0,4,fallback_support,0,3,2
did not deliver doorstep stopped at park,logistics,1,1,4,fallback_support,1,0,0
dont take parcel if you cant deliver,logistics,0,0,4,fallback_support,1,0,1
delivery boy refused doorstep delivery gave wrong product,logistics,1,0,4,fallback_support,0,0,0
poor product quality,logistics,0,0,4,fallback_support,0,3,2
delivery smooth and prompt,logistics,1,2,4,fallback_support,2,0,0
delivery agent refused to open and verify product behaved rudely shipment incomplete,logistics,0,0,3,behaviour,0,3,2
delivery boy was very good,logistics,2,2,4,fallback_support,2,1,0
no intimation no contact very pathetic service,logistics,0,0,3,behaviour,1,0,2
accurate timely safe delivery,logistics,1,1,4,fallback_support,2,0,0
please call after visit,logistics,1,1,4,support,1,0,0
order wrong item delivered,logistics,0,0,4,fallback_support,0,3,2
delivery time prior intimation suggested,logistics,2,2,4,fallback_support,2,1,0
order not received,logistics,1,1,2,damage_lost,0,0,0
delivery agent handed parcel to watchman without informing,logistics,1,1,4,fallback_support,1,0,0
product out for delivery on expected date,logistics,1,1,4,fallback_support,1,0,0
too late delivery unacceptable,logistics,0,0,0,delay,0,3,2
asked for delivery message unnecessarily,logistics,1,1,4,fallback_support,1,0,0
blue dart favourite highly recommended,logistics,2,2,4,fallback_support,2,1,0
osam,logistics,1,1,4,fallback_support,1,0,0
seamless banking process zero balance and app improvement suggestion,logistics,1,1,4,fallback_support,1,0,0
exchange requested not satisfied,logistics,1,1,7,refund,1,1,0
order yet to be delivered,logistics,1,1,4,fallback_support,1,0,0
package not delivered,logistics,0,0,4,fallback_support,0,3,2
nice experience,logistics,1,2,4,fallback_support,2,0,0
site report that delivery center,logistics,1,1,4,fallback_support,1,0,0
fast reliable service,logistics,2,2,4,fallback_support,2,1,0
very bad experience,logistics,0,0,4,fallback_support,0,3,2
forced to collect parcel due to lack of transport at neelambur office repeated false updates unacceptable service,logistics,0,0,4,fallback_support,1,0,1
address delivery failed network issue poor service,logistics,0,0,0,delay,0,3,2
prompt polite delivery appreciated,logistics,2,2,4,fallback_support,2,1,0
different product received scam,logistics,0,0,4,fallback_support,1,4,3
address incorrectly marked despite successful past deliveries,logistics,1,1,4,fallback_support,0,0,0
delivery delay and rude staff behaviour,logistics,0,0,0,delay,0,3,2
courier boy not talk,logistics,1,1,4,fallback_support,1,0,0
premium service expectation not met,logistics,1,1,4,fallback_support,1,0,0
still not received very bad service,logistics,0,0,2,damage_lost,0,4,3
worst courier service in surat,logistics,0,0,4,fallback_support,0,3,2
late delivery very rd class service delivery not door door service delivery boy say take your parcel near by location not deliver at adress,logistics,0,0,0,delay,0,3,2
I have not received this parcel but it shows that I have received it,logistics,1,1,2,damage_lost,0,0,0
not satisfied customer care not responding,logistics,0,0,4,support,2,1,1
parcel already reached city but not delivered,logistics,1,0,4,fallback_support,0,0,0
delivery person handed product to someone else,logistics,0,0,4,fallback_support,1,0,1
Communication with customer is not good in kothapet branch ,logistics,0,0,4,fallback_support,2,1,1
received parcel on time,logistics,1,1,4,fallback_support,2,0,0
false consignee unavailable status updated without contact forced office pickup,logistics,0,0,4,support,1,0,1
delivery took too much time,logistics,1,1,4,fallback_support,1,0,0
forced self pickup despite paying delivery charges,logistics,0,0,4,fallback_support,1,0,1
fast service hdfc bank,logistics,1,1,4,fallback_support,2,0,0
dilivery boy nahi aana chahte hain bolte hain galat pin code hai aapka lekin aisa nahi haihamesa kosis karte hain otp mangne ka or order cancel kar dete hain lekin ish baar mai bahut samjhai tab ja kar aaye or phir bahana bana rahe please consider this problem,logistics,1,0,4,fallback_support,0,0,0
do not want this,logistics,1,1,4,fallback_support,1,0,0
did not get parcel,logistics,0,0,4,fallback_support,1,0,1
very bed service,logistics,1,1,4,fallback_support,1,0,0
prediction date not accurate but service good,logistics,2,2,4,fallback_support,2,1,0
good performance,logistics,2,2,4,fallback_support,2,1,0
on time good delivery,logistics,2,2,4,fallback_support,2,1,0
return parcel bad smell,logistics,0,0,7,refund,0,4,3
delivered to landmark instead of address,logistics,1,1,4,fallback_support,1,0,0
need delivery person contact number,logistics,1,1,4,support,1,0,0
material poor need return,logistics,0,0,7,refund,0,4,3
well mannered behaviour,logistics,1,1,3,behaviour,1,0,0
order parcel of r while order pay r but at time of delivery he ask r deny for pay but he say that then cancel your order not deliver your order,logistics,0,0,4,fallback_support,1,0,1
courier boy rude behaviour unacceptable,logistics,0,0,3,behaviour,0,3,2
excellent delivery happy to receive this shipment,logistics,2,2,4,fallback_support,2,1,0
card delivery failed and marked delivered,logistics,0,0,0,delay,0,3,2
prepaid order marked delivered but not received agent unreachable,logistics,0,0,2,damage_lost,0,4,3
very pleased parcel arrived safe,logistics,2,2,4,fallback_support,2,1,0
get msg that it deliver today morning but get product by pm,logistics,0,0,4,fallback_support,1,0,1
delivery boy lacks manners,logistics,1,1,4,fallback_support,1,0,0
quality mismatch from images,logistics,0,0,4,fallback_support,1,0,1
good keep it up,logistics,2,2,4,fallback_support,2,1,0
order not delivered,logistics,0,0,4,fallback_support,0,3,2
consignment not delivered but status shows delivered,logistics,1,0,5,tracking,0,0,1
shipment not received yet,logistics,0,0,2,damage_lost,0,4,3
your service is very good,logistics,2,2,4,fallback_support,2,1,0
pickup and dispatch too slow,logistics,0,0,4,fallback_support,1,0,1
excellent delivery experience,logistics,2,2,4,fallback_support,2,1,0
delivery agent falsely marked not available,logistics,0,0,4,fallback_support,1,0,1
packet stuck at center since Wednesday,logistics,1,1,4,fallback_support,0,0,0
fake item received,logistics,1,1,4,fallback_support,0,0,0
very nice service,logistics,2,2,4,fallback_support,2,1,0
overall good but need agent phone number in advance,logistics,1,2,4,fallback_support,2,1,0
wrong product delivered fake item,logistics,0,0,4,fallback_support,0,3,2
not yet delivered,logistics,1,1,4,fallback_support,1,0,0
delayed four days collected from store,logistics,0,0,0,delay,0,3,2
try delivering at correct address,logistics,1,1,4,fallback_support,1,0,0
delivery refused to come upstairs,logistics,1,1,4,fallback_support,1,0,0
please inform at least one hour before delivery,logistics,1,1,4,fallback_support,1,0,0
delivery not make at give address even without call reach at address status be show that consignee not available once call make receive parcel from store come store receive parcel bad service,logistics,0,0,4,support,0,3,2
delivery marked out but never arrived,logistics,0,0,4,fallback_support,1,0,1
need delivery agent contact number,logistics,1,1,4,support,1,0,0
shipment not delivered had to collect personally,logistics,1,0,4,fallback_support,0,0,0
nice experience overall,logistics,2,2,4,fallback_support,2,1,0
delivery complete shown but not received,logistics,1,1,2,damage_lost,0,0,0
bank envelope misplaced,logistics,0,0,4,fallback_support,1,0,1
delivery person well mannered give me full change without any excuse,logistics,2,2,4,fallback_support,2,1,0
wrong colour received,logistics,1,0,4,fallback_support,0,0,0
deliver product asap,logistics,1,1,4,fallback_support,1,0,0
delivery person honest returned full change,logistics,2,2,7,refund,1,0,0
good safe fast,logistics,2,2,4,fallback_support,2,1,0
excellent service overall,logistics,2,2,4,fallback_support,2,1,0
payment issue amount collected wrongly,logistics,1,0,6,pricing,0,0,0
Worst video kyc process,logistics,0,0,4,fallback_support,0,3,2
