text,industry,sentiment,customer_intent,primary_aspect,aspect_sentiment,emotion,priority
happy but one day late delivery,logistics,1,0,0,0,1,1
delivery agent did not contact or visit,logistics,0,1,4,1,0,1
no thanx,logistics,1,5,4,1,0,0
staff name mentioned,logistics,1,5,4,1,0,0
return process clear and complete,logistics,1,5,4,1,0,0
name only,logistics,1,5,4,1,0,0
delivery boy behaviour bad,logistics,0,1,4,0,4,2
damaged product return my order,logistics,0,1,2,0,5,3
minimise gap between out for delivery and delivery,logistics,1,5,4,1,0,0
great experience exceeded expectations,logistics,2,2,4,2,1,0
delivery marked delivered but not received,logistics,1,5,2,0,0,0
received duplicate product fraud,logistics,0,1,4,1,5,3
delivery person polite kind,logistics,2,2,4,2,1,0
asked to collect parcel midway,logistics,0,1,4,1,0,1
delivery boy demanded money misbehaved refused floor delivery,logistics,0,1,3,1,0,2
delivery guy reached my location exactly,logistics,1,5,4,1,0,0
received parcel after delay,logistics,1,0,0,0,3,2
received on time extremely happy,logistics,2,2,4,2,1,0
delivery person tampered property caught on cctv,logistics,0,1,2,0,5,3
very bad service forced office pickup,logistics,0,1,4,0,4,2
delivery not at doorstep handed to security,logistics,0,1,4,1,0,1
very happy with otp and kyc verification process,logistics,2,2,4,2,1,0
scammed need refund,logistics,1,1,7,1,5,3
product found to be fake,logistics,0,1,4,0,4,2
account activation delayed for four days after welcome kit no update provided,logistics,0,0,0,0,4,2
delivery boy humble and fast,logistics,2,2,4,2,1,0
vinayak gaikwad very good delivery person,logistics,2,2,4,2,1,0
delivery my product,logistics,1,5,4,1,0,0
delivery guy rude grumpy and impatient,logistics,0,1,3,0,4,2
aapka service mujhe accha laga,logistics,2,2,4,2,1,0
return order,logistics,1,5,4,1,0,0
good professional delivery person,logistics,2,2,4,2,1,0
delivery boy very good,logistics,2,2,4,2,1,0
did not receive order,logistics,0,1,4,1,0,1
delivery boy very respectful,logistics,1,5,4,1,0,0
received different product from what was ordered,logistics,0,1,4,1,0,1
delivery made to different address with proof,logistics,1,5,4,1,0,0
priority order delayed,logistics,1,0,0,0,3,2
product not delivered to location had to visit office,logistics,0,0,4,0,4,2
teach delivery boy how to talk properly,logistics,1,3,4,1,0,0
please cancel my order,logistics,1,5,4,1,0,0
delivery partner took extra money when customer unavailable,logistics,0,1,4,1,2,1
keep up the good work,logistics,2,2,4,2,1,0
good delivery experience first time,logistics,2,2,4,2,5,3
very polite person,logistics,2,2,4,2,1,0
delayed,logistics,1,0,0,0,3,2
not deliver in actual location,logistics,1,5,4,1,0,0
very good service prompt delivery,logistics,2,2,4,2,1,0
received different product,logistics,0,1,4,1,0,1
please confirm on call after confirm address,logistics,1,5,4,1,5,3
fake parcel cardboard inside,logistics,0,1,4,0,4,2
bahut bekar service,logistics,1,1,4,0,0,0
delivery executive supportive rescheduled properly,logistics,2,2,4,2,1,0
refused to deliver to floor,logistics,1,5,4,1,0,0
no phone call from delivery person marked consignee unavailable extremely poor process,logistics,0,1,4,0,4,2
delivery person reluctant for upper floor,logistics,0,1,4,1,0,1
dont argue with customer give some time,logistics,1,5,4,1,0,0
delivery contact details required,logistics,1,5,4,1,2,0
wrong address wrong person delivery issue,logistics,0,1,1,0,4,2
" I must say the entire process was smooth, efficient, and pleasant. From the warm welcome by the staff to the quick and transparent account opening process, every step reflected professionalism and customer care.

I truly appreciate the bankÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¢ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs commitment to customer satisfaction. The team was helpful in guiding me through the formalities, explaining the features clearly, and ensuring I felt confident and valued. It was a refreshing experience that left me both happy and impressed.

I'm genuinely glad to be a part of the IDFC FIRST Bank family and look forward to a great banking relationship ahead!",logistics,2,2,4,2,5,3
delivery status updated without delivery,logistics,1,3,4,1,2,0
order for return,logistics,1,5,4,1,0,0
documents handled carefully,logistics,1,5,4,1,0,0
packages delivered successfully without issue,logistics,2,1,4,0,0,0
great,logistics,2,2,4,2,1,0
delivery staff soft spoken but recipient absent,logistics,1,5,4,1,2,0
delivery guy refused stairs pickup,logistics,1,5,4,1,0,0
The choice of branch could have been provided to the customer,logistics,1,5,4,1,0,0
ordered expensive item got cheap one,logistics,0,1,4,1,0,1
very bad nandanam chennai branch,logistics,0,1,4,0,4,2
false address update forced office pickup,logistics,0,1,4,1,0,1
parcel delayed and spoiled at destination hub,logistics,1,0,0,0,3,2
service not available in village,logistics,0,1,4,1,0,1
not this watch,logistics,1,5,4,1,0,0
not my shipment someone used my number,logistics,1,5,4,1,0,0
all good but product quality not good,logistics,1,2,4,2,1,0
false delivered sms without receipt,logistics,1,5,4,1,0,0
wrong product received twice fraud,logistics,0,1,4,0,5,3
KYC not working RM not responsive,logistics,0,1,4,1,0,1
would like return this product a it not at all work please help me out reach with it,logistics,1,5,4,1,0,0
very poor service delayed delivery,logistics,0,0,0,0,4,2
request for low balance account option,logistics,1,5,4,1,0,0
nice service,logistics,2,2,4,2,1,0
unable receive call but delivery completed,logistics,1,5,4,1,0,0
Item has been changed,logistics,0,1,4,1,0,1
delivery partner call me even before he reach destination,logistics,1,5,4,1,0,0
ordered one but delivered two refused return,logistics,0,1,4,1,0,1
very prompt delivery executive,logistics,2,2,4,2,1,0
excellent service provider package delivered within a day of placing order,logistics,2,2,4,2,1,0
already best,logistics,2,2,4,2,1,0
delivery delay again,logistics,1,0,0,0,3,2
no issues during delivery,logistics,1,1,4,0,0,0
delivery staff did not return balance amount,logistics,0,1,4,1,0,1
rude delivery guy,logistics,0,1,3,0,4,2
top class service very polite behaviour delivery executive very knowledgeable highly satisfy with his service,logistics,2,2,4,2,1,0
partial order received,logistics,0,1,4,1,0,1
received earlier than expected,logistics,1,5,4,1,0,0
keep moving forward,logistics,1,5,4,1,0,0
miss my rosemary water,logistics,1,5,4,1,0,0
delivery arrived without call,logistics,1,5,4,1,0,0
courier not received very bad,logistics,0,1,2,0,5,3
exact delivery time should be informed,logistics,1,5,4,1,0,0
very fast good service,logistics,2,2,4,2,1,0
ok,logistics,1,5,4,1,2,0
delivery charge taken despite free delivery,logistics,1,5,4,1,0,0
delivery smooth experience,logistics,2,2,4,2,1,0
no need cheaters parcel take for delivery ensure check before accept,logistics,1,1,4,1,0,0
average service,logistics,1,5,4,1,2,0
very good experience overall,logistics,2,2,4,2,1,0
collect my parcel at office,logistics,1,5,4,1,0,0
delivery person polite professional,logistics,1,5,4,2,0,0
not delivering at right place but marked delivered,logistics,0,1,4,1,0,1
service poor,logistics,0,1,4,0,4,2
delivery confirmation sent without actual delivery,logistics,0,1,4,1,5,3
delivery agent asked for OTP but did not hand over parcel,logistics,0,1,4,1,0,1
shipment not delivered by delivery staff,logistics,0,0,4,0,4,2
rude behaviour of delivery person abusive foul language use very unpleasant experience,logistics,0,1,3,0,4,2
delivery boy rough language,logistics,1,5,4,1,0,0
superb fast delivery,logistics,2,2,4,2,1,0
best service,logistics,2,2,4,2,1,0
wrong item delivered customer deceived,logistics,0,1,4,0,4,2
yes before opening account branch staff promised visit but never came online process was smooth,logistics,1,2,4,2,1,0
already good,logistics,2,2,4,2,1,0
bad experience,logistics,0,1,4,0,4,2
very bad experience from blue dart,logistics,0,1,4,0,4,2
blue dart delayed delivery despite parcel reaching hub,logistics,0,0,0,0,4,2
medicine delivery delayed false excuse,logistics,0,0,0,0,4,2
tracking good delivery speed needs improvement,logistics,1,3,5,1,1,1
delivery boy harassed customer,logistics,1,5,4,0,0,0
delivery agent was rude aggressive and ill mannered very disappointed,logistics,0,1,3,0,4,2
delivery boy refused home delivery forced hub pickup,logistics,0,1,4,1,0,1
parcel not delivered yet,logistics,0,0,4,0,4,2
what we order it not come totally different it come plss take this order we want other item,logistics,0,1,4,1,0,1
nice product,logistics,2,2,4,2,1,0
very poor delivery service,logistics,0,1,4,0,4,2
delivery nice express good delivery,logistics,2,2,4,2,1,0
please give tracking update in arattai app,logistics,1,3,5,1,0,1
delivery person not confirming recipient,logistics,1,5,4,1,5,3
provide delivery agent contact number,logistics,1,5,4,1,0,0
do not receive yet,logistics,1,5,4,1,0,0
delivery person honest but customer absent,logistics,1,5,4,1,0,0
bad service no home delivery credit card delay,logistics,0,0,0,0,4,2
please mention expected delivery time in message,logistics,1,5,4,1,0,0
parcel undelivered due to false reason premise locked,logistics,0,1,4,1,0,1
very long time delivery bad,logistics,0,1,4,0,4,2
get my parcel on time extremely happy,logistics,2,2,4,2,1,0
delivery partner overloaded bike issue,logistics,1,1,4,0,0,0
flat number missing delivered at gate,logistics,1,1,4,0,0,0
great quick delivery with minimal calls,logistics,2,2,4,2,1,0
achcha,logistics,1,5,4,1,0,0
item received broken,logistics,1,1,2,0,2,0
delivery delayed no response after first call service bad,logistics,1,0,0,0,5,3
reduce minimum balance requirement,logistics,1,5,4,1,0,0
behaviour not good and refused to wait for change,logistics,0,1,4,2,1,1
product unsafe not working refund or exchange,logistics,1,1,7,1,6,3
product color different from what was shown,logistics,0,1,4,1,0,1
received different sets instead of same color sets,logistics,1,5,4,1,0,0
delivery person courteous,logistics,2,2,4,2,5,3
fake jewellery wrong product delivered,logistics,0,1,4,0,4,2
receive in time,logistics,2,2,4,2,1,0
deliver wrong product,logistics,0,1,4,0,4,2
poor packaging and damaged handling,logistics,0,1,2,0,5,3
delivery staff polite timely,logistics,1,5,4,2,0,0
good timely service,logistics,2,2,4,2,1,0
packaging was proper,logistics,1,5,4,1,0,0
had to go for pickup no one answered calls at godown very upsetting,logistics,0,1,4,1,0,1
giod,logistics,1,5,4,1,0,0
delivery agent was rude and unreachable during duty hours,logistics,0,1,3,0,4,2
extra charges taken very bad service,logistics,0,1,6,0,4,2
parcel thrown inside gate unacceptable behavior,logistics,0,1,4,1,4,2
delivery on time with proper tracking update,logistics,2,3,5,1,0,0
it good,logistics,2,2,4,2,1,0
delivery person damaged doorbell by continuous pressing,logistics,0,1,2,0,5,3
shipment falsely marked undelivered twice,logistics,0,1,4,1,0,1
parcel not received very sad,logistics,0,1,2,0,5,3
delivery agent phone numbers not reachable,logistics,1,5,4,1,0,0
get wrong order,logistics,0,1,4,0,4,2
replacement required wrong product,logistics,1,5,7,0,0,0
delivery process very bad forced to collect from office,logistics,0,1,4,0,4,2
perform more expectation,logistics,1,5,4,1,0,0
refused doorstep delivery asked to cancel,logistics,1,5,4,1,0,0
delivery very fast satisfied,logistics,2,2,4,2,1,0
delivery boy polite and helpful,logistics,2,2,4,2,1,0
order delayed more than a day repeatedly,logistics,1,0,0,0,3,2
empty box received product missing,logistics,1,1,2,0,0,0
wrong parcel received,logistics,1,5,4,0,0,0
early delivery before expected,logistics,2,2,4,2,1,0
everything good keep it up,logistics,2,2,4,2,1,0
late delivery issue,logistics,0,0,0,0,4,2
fraud waste product delivered refund money,logistics,0,1,7,0,5,3
very very warst quality damage,logistics,0,1,2,0,5,3
unknown person received parcel,logistics,1,5,1,1,0,1
thanks for call,logistics,1,2,4,2,1,0
no information about delivery status,logistics,1,3,4,1,2,0
wrong consignee remark incorrect attempt update,logistics,0,1,4,0,4,2
delivery boy refused address pickup office,logistics,0,1,4,1,0,1
If you call I will tell you 6205637767,logistics,1,5,4,1,0,0
already make order delay without contact customer mark that customer not available,logistics,0,0,0,0,4,2
wrong and missing products received,logistics,0,1,4,0,4,2
delivery guy did not call before delivery,logistics,0,1,3,1,0,2
one of the best services,logistics,2,2,4,2,1,0
good,logistics,1,2,4,2,1,0
excellent service by delivery staff,logistics,2,2,4,2,1,0
wrong jersey delivered,logistics,0,1,4,0,4,2
delivery agent disrespectful tone,logistics,0,1,4,1,0,1
delivery refused home delivery forced hub pickup,logistics,0,1,4,1,0,1
lovely delivery person,logistics,2,2,4,2,1,0
it ok,logistics,1,5,4,1,2,0
on time delivery,logistics,2,2,4,2,1,0
agent did not listen properly during validation and was in a hurry,logistics,0,1,4,1,0,1
delivery person delivered to wrong house and asked me to collect later,logistics,0,0,1,0,4,2
delivery boy misbehaved,logistics,1,1,3,1,0,0
always outstanding,logistics,2,2,4,2,1,0
awesome delivery by bluedart thank you,logistics,2,2,4,2,1,0
COD change required suggestion,logistics,1,5,4,1,0,0
different shade received,logistics,1,5,4,1,0,0
additionally charge extra,logistics,0,1,4,1,0,1
missing item in parcel box,logistics,0,1,2,0,5,3
good no,logistics,1,2,4,2,1,0
no response from delivery boy,logistics,0,1,4,0,4,2
polite well behaved delivery person,logistics,1,5,4,2,0,0
delivery agent deny deliver at home,logistics,1,5,4,1,0,0
please provide delivery executive contact number,logistics,1,5,4,1,0,0
day before delivery thank you,logistics,2,2,4,2,1,0
call before delivery attempt,logistics,1,5,4,1,0,0
delivery agent took otp but did not deliver,logistics,0,1,4,1,2,1
very poor delivery not delivered on time,logistics,0,0,0,0,4,2
not delivere time time fasle commitment,logistics,1,5,4,1,0,0
nothing report,logistics,1,5,4,1,0,0
nobody cared about customer time extremely pathetic experience,logistics,0,1,4,1,0,1
from last three day your delivery agent reschedule delivery date even without ask me,logistics,1,5,4,1,0,0
good response,logistics,2,2,4,2,1,0
please return my order,logistics,1,5,4,1,0,0
nice packaging and good delivery service,logistics,2,2,4,2,1,0
pathetic service had to collect parcel from outlet,logistics,0,1,4,1,0,1
saree damage,logistics,1,5,2,1,0,0
delivery very quick and smooth,logistics,2,2,4,2,1,0
delivery person did not call and product not received,logistics,0,1,2,0,5,3
product damaged on opening please take back,logistics,0,1,2,0,5,3
delivery took whole day,logistics,1,5,4,1,2,0
shipment prompt but one item miss in parcel,logistics,0,1,4,2,0,1
goo,logistics,1,5,4,1,0,0
wrong product receive,logistics,0,1,4,0,4,2
rohit yadav,logistics,1,5,4,1,0,0
they did not call and handed parcel to unknown person,logistics,0,1,3,1,0,2
delivery executive behaviour was pathetic and rude,logistics,0,1,3,0,4,2
vad quality,logistics,1,5,4,1,0,0
delivery boy agent good behaviour respectful blue dart service,logistics,2,2,4,2,1,0
my courier not delivered at all,logistics,0,0,4,0,4,2
mobile number wrongly updated in system,logistics,1,3,4,0,0,0
thank you for great service example,logistics,2,2,4,2,1,0
learning how to use new card benefits,logistics,1,3,4,1,0,0
not receive my debit card yet,logistics,0,1,4,1,0,1
delivery update only,logistics,1,3,4,1,0,0
delivery staff rude payment issue humiliating behaviour,logistics,0,1,3,0,4,2
fraud courier payment concern raised,logistics,1,1,4,1,5,3
didnt receive my order but status shows delivered,logistics,0,1,4,1,2,1
have go take from hub,logistics,1,5,4,1,0,0
duplicate cheap product delivered fraud,logistics,0,1,4,1,5,3
delivery executive did not come home had to go office to collect card,logistics,0,1,4,1,0,1
did not receive package,logistics,0,1,4,1,0,1
pathetic rural delivery experience repeated false updates,logistics,0,1,4,1,0,1
quality poor box already opened,logistics,1,5,4,0,0,0
without call delivery boy humble,logistics,1,5,4,1,0,0
satisfied,logistics,1,2,4,2,1,0
merchant fraud sent wrong item affecting bluedart reputation,logistics,1,1,4,0,5,3
bahut jyada lal ho gya hai purana stock pack karke bhej diya hai or isme return ka option nahi hai,logistics,1,5,4,1,0,0
courier person respectful,logistics,1,5,4,1,0,0
shipment received broken,logistics,0,1,2,0,5,3
amazing delivery person,logistics,1,5,4,1,0,0
increase service in rural punjab,logistics,1,5,4,1,0,0
worst service ever experienced,logistics,0,1,4,0,4,2
wrong product totally delivered,logistics,0,1,4,0,4,2
delivery on time,logistics,1,2,4,2,0,0
fast good service,logistics,1,2,4,2,1,0
delivery person very professional,logistics,2,2,4,2,1,0
delivery delay than given time,logistics,0,0,0,0,4,2
avoid weekend deliveries suggestion,logistics,1,5,4,1,0,0
unknown receiver name shown,logistics,1,3,4,1,0,0
delivery person was very rude argued at doorstep,logistics,0,1,3,0,4,2
delivery agent rude location handling,logistics,0,1,3,0,4,2
fraud happened with me,logistics,0,1,4,1,5,3
scammed wrong product delivered refund needed,logistics,0,1,7,0,5,3
blue dart known for safe quick delivery delivery staff trained and responsive,logistics,2,2,4,2,1,0
pathetic repeated false delivery attempts,logistics,0,1,4,1,0,1
delivery staff cooperative behaviour,logistics,1,5,4,1,0,0
improve technology based services,logistics,2,2,4,2,1,0
good work very supportive team,logistics,2,2,4,2,1,0
branch staff quality needs improvement,logistics,1,5,4,1,0,0
very good service polite delivery person,logistics,2,2,4,2,1,0
good service good bihevear,logistics,2,2,4,2,1,0
parcel leave with gate man in different block of this complex it should deliver my flat,logistics,0,1,4,1,0,1
unknown person received parcel,logistics,0,1,1,0,4,2
toxic delivery behaviour forced pickup threats,logistics,0,1,4,1,6,3
very poor service,logistics,0,1,4,0,4,2
delivery not done please contact me,logistics,1,5,4,1,0,0
wrong color received want exchange,logistics,1,5,4,0,0,0
only partial order received,logistics,1,5,4,1,0,0
best,logistics,2,2,4,2,1,0
amaze person,logistics,1,5,4,1,0,0
mixed feedback account opening delayed,logistics,1,0,0,0,3,2
it take almost two week deliver my order,logistics,0,1,4,1,0,1
bad perfume itna mehnga perfume isse acha fogg hai,logistics,1,5,4,0,0,0
received bad product,logistics,0,1,4,0,4,2
excellent fast delivery within one day,logistics,2,2,4,2,1,0
fraud different product received,logistics,0,1,4,1,5,3
since last few month,logistics,1,5,4,1,0,0
order mismatch issue,logistics,0,1,4,0,4,2
delivery made in my absence,logistics,1,5,4,1,0,0
delivery boy not doorstep village shop delivery bank card loss bad service,logistics,0,1,4,0,4,2
easy delivery,logistics,1,5,4,1,0,0
wanted to cancel order but delivery person did not contact and delivered to security guard,logistics,0,1,4,1,0,1
promise kept,logistics,1,5,4,1,0,0
ahead of time delivery,logistics,2,2,4,2,1,0
irritating service order stuck in city no help,logistics,0,1,4,0,4,2
too much delay,logistics,0,0,0,0,4,2
best team,logistics,2,2,4,2,1,0
delivered on time but no return option and customer not contacted when call failed,logistics,0,1,3,2,0,2
received at location,logistics,1,5,4,1,0,0
delivered one day early very happy,logistics,2,2,4,2,1,0
yas,logistics,1,5,4,1,0,0
out of station reason falsely marked,logistics,0,1,4,1,0,1
didnt receive my parcel yet,logistics,0,1,4,1,0,1
u do excellent job keep it up,logistics,2,2,4,2,1,0
didnt receive my package,logistics,0,1,4,1,0,1
packaging open internal product packaging also open,logistics,1,5,4,1,0,0
fake refused status forced pickup,logistics,0,1,4,0,4,2
packaging completely different leaking product,logistics,1,5,4,1,0,0
provide promised delivery timeline,logistics,1,5,4,1,0,0
no complaints,logistics,1,1,4,0,4,2
prompt polite speedy delivery,logistics,2,2,4,2,1,0
not good delivery agent call missed marked undelivered had to collect from office,logistics,0,1,4,2,1,1
documents not received parcel missing,logistics,0,1,2,0,5,3
product fake,logistics,0,1,4,0,4,2
service not well,logistics,0,1,4,1,0,1
fake delivery update by agent,logistics,1,3,4,0,0,0
nice delivery,logistics,2,2,4,2,1,0
delivery boy very polite and on time,logistics,2,2,4,2,1,0
processing charge query,logistics,1,5,4,1,2,0
not received parcel yet,logistics,1,5,2,0,0,0
no word,logistics,1,5,4,1,0,0
bahut bekar delivery din lag gaye,logistics,1,1,4,0,0,0
parcel still not received,logistics,0,1,2,0,5,3
package damaged externally improve delivery quality,logistics,1,1,2,0,4,3
did not receive my parcel,logistics,0,1,4,1,0,1
really fast delivery,logistics,2,2,4,2,1,0
dint receive it,logistics,1,5,4,1,0,0
courier not deliver,logistics,0,1,4,1,0,1
most unreliable frequent delays,logistics,0,0,0,0,4,2
tooo late delivery joke,logistics,0,0,0,0,4,2
no one at home who accepted delivery,logistics,1,5,4,1,0,0
very satisfied cooperative service,logistics,2,2,4,2,1,0
expected delivery date not met,logistics,1,5,4,1,0,0
late delivery unacceptable,logistics,0,0,0,0,4,2
scam product no primer received only mascara,logistics,0,1,4,1,5,3
Good working bank ,logistics,2,2,4,2,1,0
fake product delivered,logistics,1,5,4,0,0,0
should notify customer in every hub parcel reach,logistics,1,5,4,1,0,0
best courier service,logistics,2,2,4,2,1,0
delivery not attempted but resolved after complaint very satisfied,logistics,2,1,0,0,4,2
wrong delivery updates should not be done,logistics,1,1,4,0,4,2
excellent service by bluedart staff,logistics,2,2,4,2,1,0
delivery agent did not call me,logistics,0,1,3,1,0,2
status shows delivered but courier not received,logistics,0,1,2,0,5,3
trash found inside parcel box,logistics,0,1,4,1,0,1
delivery boy humble and polite,logistics,2,2,4,2,1,0
give different item support not helpful,logistics,1,5,4,0,0,0
good delivery,logistics,2,2,4,2,1,0
very late delivery with false updates,logistics,0,0,0,0,4,2
please call again,logistics,1,5,4,1,0,0
very nice helpful delivery staff,logistics,2,2,4,2,1,0
delivery partner inappropriate behavior at window,logistics,1,5,4,1,0,0
already served,logistics,1,5,4,1,0,0
delivery refused had to go 3km away,logistics,0,1,4,1,0,1
they raised failed delivery without calling,logistics,0,1,4,1,0,1
delivery boy refused doorstep delivery and behaved very badly,logistics,0,1,4,0,4,2
not deliver at my address ask come nearby,logistics,0,1,4,1,0,1
delivery staff talked rudely,logistics,0,1,3,0,4,2
delivery delayed birthday gift impacted,logistics,1,0,0,0,3,2
want to return parcel received wrong item,logistics,0,1,4,0,4,2
not receive order pankaj not priya waiting more than week,logistics,0,1,4,1,3,1
delivery partner did not call and product not received,logistics,0,1,2,0,5,3
return option missing after order,logistics,1,1,4,0,0,0
this very poor irresponsible service receive my courier after fifteen day,logistics,0,1,4,0,4,2
appreciate effort despite delay,logistics,2,0,0,0,0,0
delivery team updated status without calling unacceptable,logistics,1,3,4,1,4,2
team delivered correct product to address appreciate effort,logistics,2,2,4,2,1,0
need return item,logistics,1,5,4,1,0,0
bad experience with delivery vendor,logistics,0,1,4,0,4,2
good but not up to mark,logistics,1,2,4,2,1,0
parcel not delivered,logistics,0,0,4,0,4,2
she deliver at security gate,logistics,1,5,4,1,0,0
very poor service expected delivery by 1st oct fake update customer not available caused penalty due to delay,logistics,0,0,0,0,4,2
severely damaged packaging contents spilled,logistics,0,1,2,0,5,3
try deliver same date when delivery status show in order,logistics,1,3,4,1,2,0
prompt delivery even at different address,logistics,2,2,4,2,1,0
defective product want return,logistics,1,5,4,1,0,0
not applicable,logistics,0,1,4,1,0,1
delivery boy lied about attempt,logistics,0,1,4,1,0,1
product quality not good,logistics,0,1,4,2,1,1
fast delivery neutral experience,logistics,1,2,4,2,0,0
earbuds box scratched poor product quality,logistics,0,1,4,0,4,2
overselling concerns,logistics,1,5,4,1,3,1
good performance delivery team,logistics,2,2,4,2,1,0
very bad service without call and repeated delays,logistics,0,0,0,0,4,2
verification required,logistics,1,5,4,1,0,0
order marked delivered but not received,logistics,1,5,2,0,0,0
staff behavior not good,logistics,0,1,4,2,1,1
bad service coordination by logistics partner,logistics,0,1,4,0,4,2
poor performance failed to deliver on time and place,logistics,0,1,4,0,4,2
collected parcel from office no home delivery,logistics,0,1,4,1,0,1
no call from delivery agent forced office pickup bad service,logistics,0,1,3,0,4,2
superb service by delivery personnel,logistics,2,2,4,2,1,0
wrong receiver name unprofessional,logistics,0,1,3,0,4,2
did not get ordered book want return,logistics,0,1,4,1,2,1
abc,logistics,1,5,4,1,0,0
wrong fake product dilevered,logistics,0,1,4,0,4,2
delivery details required,logistics,1,5,4,1,2,0
video kyc smooth secure delivery with minimal id sharing,logistics,2,2,4,2,1,0
online kyc process needs improvement,logistics,1,5,4,1,0,0
ok fragile items should not be delivered on bike,logistics,1,5,4,1,2,0
delivery person misled saying he arrived waited long very bad experience,logistics,0,1,4,0,4,2
fraud by company,logistics,1,1,4,1,5,3
it is not my order,logistics,0,1,1,0,4,2
passbook printing facility required at branch,logistics,1,5,4,1,2,0
delivery always reschedule mark consignee not available,logistics,1,5,4,1,0,0
continue with same spirit,logistics,1,5,4,1,0,0
extremely poor service courier did not deliver card at office address official complaint raised,logistics,0,1,4,0,4,2
wrong item delivered,logistics,1,5,4,0,0,0
product different from video shown,logistics,1,3,4,1,0,0
who abishek,logistics,1,5,4,1,0,0
video kyc interrupted multiple times,logistics,1,5,4,1,0,0
item damaged,logistics,0,1,2,0,5,3
delivery executive missed call no follow up,logistics,0,1,4,1,3,1
bad service,logistics,0,1,4,0,4,2
service not liked,logistics,1,5,4,1,0,0
wrong flip cover delivered instead of ordered product,logistics,0,1,4,0,4,2
prompt delivery without unnecessary calls,logistics,1,5,4,2,0,0
parcel delivered to wrong floor wrong person,logistics,0,1,1,0,4,2
delivery person didnt call held consignment,logistics,0,1,5,1,0,0
it is ok,logistics,1,5,4,1,2,0
parcel delayed despite multiple complaints,logistics,0,0,0,0,4,2
delivery executive lied,logistics,0,1,4,1,0,1
not delivered,logistics,0,0,4,0,4,2
doorstep delivery no unnecessary calls satisfied,logistics,2,2,4,2,1,0
forced market pickup not doorstep delivery risky for bank documents,logistics,1,5,4,1,0,0
item not deliver,logistics,1,5,4,1,0,0
order delayed,logistics,0,0,0,0,4,2
delivery agent called and delivered to office address,logistics,1,5,4,1,0,0
love product quality excellent,logistics,2,2,4,2,1,0
delivery person talked rudely no manners during delivery,logistics,0,1,3,0,4,2
okay,logistics,1,5,4,1,2,0
delivery staff behaviour was good,logistics,2,2,4,2,1,0
thank you service appreciated,logistics,2,2,4,2,1,0
quick service,logistics,2,2,4,2,1,0
credit card features miscommunicated,logistics,1,5,4,1,0,0
bad service received,logistics,0,1,4,0,4,2
really appreciate delivery partner patience dedication,logistics,2,2,4,2,1,0
item not delivered to me,logistics,0,0,4,0,4,2
not time delivery,logistics,1,5,4,1,0,0
order received safely,logistics,2,2,4,2,1,0
behaviour not good,logistics,0,1,4,2,1,1
did not like product quality,logistics,0,1,4,1,0,1
bad experience with delivery staff cheap service,logistics,0,1,4,0,4,2
delivery partner demanded extra charges to deliver at my address,logistics,0,1,6,1,0,1
humble excellent service,logistics,2,2,4,2,1,0
size not perfect,logistics,1,2,4,2,0,0
best agent,logistics,1,5,4,1,0,0
not received any courier,logistics,0,1,2,0,5,3
Not proper service,logistics,0,1,4,1,0,1
super fast service,logistics,2,2,4,2,1,0
dont receive anything,logistics,1,5,4,1,0,0
share delivery date time in advance,logistics,1,5,4,1,0,0
ruthless aggressive delivery boy,logistics,0,1,4,1,0,1
want return my order,logistics,1,5,4,1,0,0
poor internal team coordination,logistics,1,5,4,0,0,0
please call before delivery otherwise service superb,logistics,2,2,4,2,1,0
zero balance account misrepresented minimum balance demanded scam,logistics,0,1,4,1,5,3
good person delivery staff,logistics,2,2,4,2,1,0
item damaged please return this,logistics,0,1,2,0,5,3
no home delivery available,logistics,1,5,4,1,0,0
bad courier experience lifetime worst,logistics,1,5,4,0,0,0
delivery agent rude communication,logistics,0,1,3,0,4,2
defective item,logistics,1,5,4,1,0,0
Everything looks good but no email transaction alerts received,logistics,2,2,4,2,1,0
delivery person lacks customer behaviour will not recommend bluedart,logistics,0,1,4,1,0,1
no call received,logistics,1,5,3,1,0,0
order delayed had to collect myself,logistics,0,0,0,0,4,2
same day delivery started by bluedart great service,logistics,2,2,4,2,1,0
easy account opening within 2 minutes,logistics,2,2,4,2,1,0
order arrived damaged,logistics,1,1,2,0,4,3
koi deliver karne aaya hi tha,logistics,1,5,4,1,0,0
delivery staff rude attitude,logistics,0,1,3,0,4,2
delivery agent did not call status shows delivered,logistics,0,1,3,1,2,2
exllent,logistics,1,5,4,1,0,0
order not same,logistics,0,1,4,1,0,1
wrong item received need details,logistics,1,5,4,0,2,0
like the service,logistics,2,2,4,2,1,0
delivery person was rude and misbehaved on calls,logistics,0,1,3,0,4,2
poor internal team,logistics,1,5,4,0,0,0
delivery boy behaviour very bad,logistics,0,1,4,0,4,2
did not receive product no call from executive,logistics,0,1,3,1,0,2
delivery boy polite redelivered next day,logistics,2,2,4,2,1,0
so much delay not deliver my home do multiple follow up,logistics,0,0,0,0,4,2
very good delivery on time polite staff,logistics,2,2,4,2,1,0
wrong system update no courier received,logistics,0,1,4,0,4,2
single item received instead of full order,logistics,1,5,4,1,0,0
