text,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment
Well satisfied..,2,2,4,fallback_support,2
I received call prior to delivery. Continue this type of service,2,2,4,support,2
Please try to upgrade your delivery boys Behaviour,1,1,3,behaviour,1
Be truthful and honest with your duties,1,1,4,fallback_support,1
Appreciate for service.,2,2,4,fallback_support,2
It's good the delivery is exactly on time I am happy ? want to book something else in future also,2,2,4,fallback_support,2
When we call ur customer care it's not working at all.. Pls do the needful.. How can we contact the customer care representative? Or add alternative number... Pls,0,0,4,support,1
Your delivery boy behaviour is very bad ?,0,0,3,behaviour,0
No contact given,0,0,4,support,1
So good and product quality is also good and delivery is fast,2,2,4,fallback_support,2
The delivery guy didn't deliver door step.,0,0,4,fallback_support,1
Product  0 0,1,1,4,fallback_support,1
Excellent dilevery. Very happy,2,2,4,fallback_support,2
Like.,2,2,4,fallback_support,2
I? really humbled the way delivery person without hesitation climbs up to the second floor for delivery without arrogance which some people do. So thank you so much!!,2,2,4,fallback_support,2
Best service everDelivery guy was very polite,2,2,4,fallback_support,2
Thank you for always giving us best service.,2,2,4,fallback_support,2
Very fast nd good behaviour delivery man.,2,2,3,behaviour,2
verry verry good service,2,2,4,fallback_support,2
Quick n safe delivery.,2,2,4,fallback_support,2
Fhchhchch,1,1,4,fallback_support,1
Had to collect order from courier ofc because they dint assign delivery agents. Worst service,0,0,4,fallback_support,0
Nyc services tx blue dart,2,2,4,fallback_support,2
Awesome delivery person. Nice service.Thank you so much.,2,2,4,fallback_support,2
The delivery man is rude,0,0,3,behaviour,0
Best executives in the world ?,2,2,4,fallback_support,2
The delivery agent was great,2,2,4,fallback_support,2
Delivery man on tym nd polite,2,2,4,fallback_support,2
Ghatiya packing pura neckband toota hua aaya hai box to dikh bhi nhi raha kidhar hai bakwas service hai,0,0,4,fallback_support,0
You are calling me through your app,1,1,4,support,1
Fast and ontime,2,2,4,fallback_support,2
Gulshan is Very hardworking employee,2,2,4,fallback_support,2
Timely delivered and the delivery person very honest,2,2,4,fallback_support,2
Your representative is polite and respectful,2,2,4,fallback_support,2
Delivery boy behaviour is soo good and I like the delivery time ??,2,2,3,behaviour,2
Hdjj,1,1,4,fallback_support,1
It' fake item....,0,0,4,fallback_support,0
I hate you Jo photos me tha vo to hai nhi,0,0,4,fallback_support,1
Very polite and respectful delivery man and their behaviour,2,2,3,behaviour,2
He was asking for direction but he didn't deliver the product on that he deliver the product after the day.. anyways his behaviour was good.,1,2,3,behaviour,2
Delivery was good and convenient.,2,2,4,fallback_support,2
I was at home my friend picked my parcel ?,1,1,4,fallback_support,1
Delivery agent was co-operative and helpful,2,2,4,fallback_support,2
Nice behaviour and timing,2,2,3,behaviour,2
Worst  product,0,0,4,fallback_support,0
Very late delivery everytimePathetic service ever,0,0,0,delay,0
It was an ontime delivery. Delivery man was kind and reached location with no calls. Product reached safely.,2,2,3,behaviour,2
Very nice service and courier boy behave ????,2,2,4,fallback_support,2
Muzhe parsal galat mil gays,0,0,4,fallback_support,0
Received wrong item and broke making fraud business,0,0,4,fallback_support,0
Service already very good? ??????????????,2,2,4,fallback_support,2
My product is totally wrong ?,0,0,4,fallback_support,0
Tuptup Bag,1,1,4,fallback_support,1
Great service! Very prompt delivery,2,2,4,fallback_support,2
8tfufuf,1,1,4,fallback_support,1
Delivery is and also product good quality,2,2,4,fallback_support,2
The items i received were in mint condition and 0 damage and fast delivery in just 2 days,2,0,2,damage_lost,1
The delivery man was very polite and good and very friendly,2,2,4,fallback_support,2
It's fast and secure service  the delivery agent is also good behavior and humble. Good nature,2,2,3,behaviour,2
The executive was well professional,2,2,4,fallback_support,2
Fast service and skilled staff,2,2,4,fallback_support,2
I like it ????,2,2,4,fallback_support,2
Welcome done good job,2,2,4,fallback_support,2
My package delivery was delayed by two days.,0,0,0,delay,0
Good service lavkush,2,2,4,fallback_support,2
I did not receive my package and the status showed as delivered I demand a call from your team.Kindly resolve this issue at the earliest,0,0,2,damage_lost,0
Wrong item delivered bed,0,0,4,fallback_support,0
Ordered on 11th may received on 27 th may . make delivery faster,0,0,4,fallback_support,2
No need to action...,1,1,4,fallback_support,1
Interaction with staff was good,2,2,4,fallback_support,2
Delivery agent is not good,0,0,4,fallback_support,2
They were telling me my correct address is wrong for the last four days,0,0,4,fallback_support,0
Politely spoken behaviour.,2,2,3,behaviour,2
hamid,1,1,4,fallback_support,1
Such,1,1,4,fallback_support,1
Very best service.timly arrival,2,2,4,fallback_support,2
Love the Delievery! The delivery man was so patient and not at all rude! Very sweet.,2,0,3,behaviour,0
On time delivery is subject to good,1,2,4,fallback_support,2
Delivered to wrong person ..some one you mental Vishal nale,0,0,1,wrong_delivery,0
Superbc,2,2,4,fallback_support,2
no no nothing everything is nice,2,2,4,fallback_support,2
Best and fast delivery ever ! Nothing need to changed ? blue dirt is best,2,2,4,fallback_support,2
Thank you for good response,2,2,4,fallback_support,2
You are doing well!,2,2,4,fallback_support,2
It?s to good service because it?s give my product one day early thank you so much,2,2,4,fallback_support,2
Wonder ful service I ever experience by blue dart thanks,2,2,4,fallback_support,2
Delivery agent was good at servings this order and very polite.,2,2,4,fallback_support,2
Not delivered home address delivery 10 km,0,0,4,fallback_support,0
Continue excellence in your services & timely deliveries.,2,2,4,fallback_support,2
Consistently on time,2,2,4,fallback_support,2
So safe Neelam,2,2,4,fallback_support,2
Shipment didn?t get delivered,0,0,4,fallback_support,1
Good work..nyc behaviour.... Overall very good service....,2,2,3,behaviour,2
The worst service. You guys just know how to hold the packages in your basement for months.,0,0,4,fallback_support,0
Service is good continue,2,2,4,fallback_support,2
One day u update incomplete address & next day u deliver product on same address without any communication or update in address...what kind of fool you making to customer...,0,0,4,fallback_support,1
Behave nicely,1,2,4,fallback_support,2
The delivery executive was very fast and sweet.,2,2,4,fallback_support,2
It?s a good experience,2,2,4,fallback_support,2
The delivery was delayed too much. Had to reach out to the local office to get it.,0,0,0,delay,0
Very very good person delivery man thank you blue dart,2,2,4,fallback_support,2
Thanks bluedart and kotak mahindra Nice service,2,2,4,fallback_support,2
Size was big,0,0,4,fallback_support,1
All the products were different and served bad things and completely a different order with a bottle of urine,0,0,4,fallback_support,0
Services were superb,2,2,4,fallback_support,2
Delay service I am currier self pick up 10 km from warehouse,0,0,0,delay,0
U should improve,1,1,4,fallback_support,1
POLITE AND HUMBLE.,2,2,4,fallback_support,2
I had not received the package. To whom it was delivered?,0,0,2,damage_lost,0
I didn't received the order ... I have asked to cancel. But it's mentioned deli,0,0,4,fallback_support,1
Very humble and active perosn,2,2,4,fallback_support,2
The package was delivered in a damaged state.,0,0,2,damage_lost,0
Executive lied to say we were not available & delayed rhe delivery by a day Where is the point in giving extra money to blow dart for fast delivery??? Also he has lied about who it was delivers to - there is no mr Jaya here ?. Blue dart really has to look into the decline if its service,0,0,0,delay,0
Good personalised service,2,2,4,fallback_support,2
Very happy with the product and shipment.it reached very fast and on time.,2,2,4,fallback_support,2
He just left important packet without asking OTP to my servant,0,0,4,fallback_support,1
Excellent delivery agents. Other courier company should learn from you,2,2,4,fallback_support,2
Sudjdjjdjdjfj,1,1,4,fallback_support,1
They don't deliver at my location. They dilivery 10 km away from my home,0,0,4,fallback_support,1
Actually the courier was received in my Firm by our Staff but OTP was not asked by  the delivery boy. What is purpose of the OTP! How it was delivered without asking the OTP?,0,0,4,fallback_support,1
Better experience in future,1,1,4,fallback_support,1
Should be more faster,1,1,4,fallback_support,2
Delivery executive well mannered and always on time.,2,2,4,fallback_support,2
tab,1,1,4,fallback_support,1
No commentsd,1,1,4,fallback_support,1
The delivery anna was very kind and polite,2,2,4,fallback_support,2
Thank you for calling before delivery of the parcel,2,2,4,support,2
Sir mene you tube per trousers dekha tha our uha se order Kiya bute size small and other trousers received not satisfied. How to refund my trousers. Plz sent coustomer contact no and share link. Immediate action plz,0,0,7,refund,1
Service should be improve more,1,1,4,fallback_support,1
VERY HUMBLE GUY,2,2,4,fallback_support,2
Delivery staff was great!,2,2,4,fallback_support,2
timely delivery. humble delivery person. satisfied,2,2,4,fallback_support,2
Nice Services Provided by Blue Dart ?,2,2,4,fallback_support,2
Please keep it up excellent,2,2,4,fallback_support,2
Blue Dart ke sath sabse Bura Anubhav,0,0,4,fallback_support,1
Nothing excellent service,2,2,4,fallback_support,2
Ni Lena hai,0,0,4,fallback_support,1
Keep it up to,2,2,4,fallback_support,2
Excellent service and nice behaviour,2,2,3,behaviour,2
The item delivered in time,2,2,4,fallback_support,2
It?s good as you r doing,2,2,4,fallback_support,2
Safe and fast handling,2,2,4,fallback_support,2
Phone case I receive was so good..,2,2,4,fallback_support,2
The delivery agent was prompt. I got the delivery at 10 in the night. He is definitely hard working guy.,2,2,4,fallback_support,2
Excellent service thnks nykaa for the lovely gift?,2,2,4,fallback_support,2
Best courier and a good delivery boy ??,2,2,4,fallback_support,2
Good timely delivery.  Thanks,2,2,4,fallback_support,2
Supperrrr,2,2,4,fallback_support,2
Very good services. Courier delivered at our convenience without any hassles. Very cooperative.,2,2,4,fallback_support,2
If the person is not there I.e if the door is locked they can hand it over to the next door after getting signature from them or they can call them and get our consent,1,1,4,support,1
Please change my order and refund money,0,0,7,refund,0
Good service parcel delivered within two days....,2,2,4,fallback_support,2
bht bdiya bnda tha bhai delevery wala bht bdiya excellent ??,2,2,4,fallback_support,2
Nice? delivered my debit card,2,2,4,fallback_support,2
Satisfied with timely delivery.,2,2,4,fallback_support,2
Ok and Fine,1,1,4,fallback_support,1
Purv quality tour,1,1,4,fallback_support,1
I ordered my product on 18 may and received on 28It was plants for my planted aquariumAll melt now its of no use who will be responsible for this who will replace or refund for me,0,0,7,refund,0
A little faster delivery,1,1,4,fallback_support,2
Your Delivery Executive Deserves a round of applause?,2,2,4,fallback_support,2
Need to mention delivery boy number,1,1,4,fallback_support,1
Good sarvis blue dart Bilal bahi,2,2,4,fallback_support,2
It was instant and smooth delivery.,2,2,4,fallback_support,2
Fully satisfied with ur service,2,2,4,fallback_support,2
We have not received any item and it's mentioned as delivered which is inaccurate.,0,0,2,damage_lost,0
As always blue dart is my favourite couriers delivery service as compare to all other like delivery it is always fast unexpected delivery providers ??,2,2,4,fallback_support,2
Courier has been delivered to wrong person,0,0,1,wrong_delivery,0
Shipment not delivered at security,0,0,4,fallback_support,0
Deliver in time without blaming customer,2,2,4,fallback_support,2
Excellent service and staff are friendly.,2,2,4,fallback_support,2
Definitely good behaviour of couriour boy delivered on time,2,2,3,behaviour,2
tihgj,1,1,4,fallback_support,1
It's good but pickup time is little late,1,0,0,delay,0
The climate situation is heavy rainy but deliver boy delivered the order at my door steps. Excellent delivery blue dart,2,2,4,fallback_support,2
U delivered to wrong person I have not received,0,0,2,damage_lost,0
Before delivery... thanx to the delivery staff..and the team.,2,2,4,fallback_support,2
All better courier service,2,2,4,fallback_support,2
damaged ??,0,0,2,damage_lost,0
Everything is already well,2,2,4,fallback_support,2
Very good delivery service. Good delivery man . Thank you for ur good service,2,2,4,fallback_support,2
Smooth delivery and the delivery brother was very cooperative,2,2,4,fallback_support,2
Girlfriend,1,1,4,fallback_support,1
Great at delivery and updates,2,2,4,fallback_support,2
Pilot Behavior,1,1,3,behaviour,1
Stick to the delivery time and date,1,1,4,fallback_support,1
Messaging probable time of delivery,1,1,4,fallback_support,1
Hdjdm,1,1,4,fallback_support,1
bsbj,1,1,4,fallback_support,1
I will definitely choose blue dart in the future too,2,2,4,fallback_support,2
Made me collect order from courier office without assigning delivery agents. Despite several complaints they still repeat the same.,0,0,4,support,0
I was very much at home and the delivery guy just didn?t bother to call me and left the consignment with the security. This is completely unacceptable. Please advise your delivery agents to call up the customer.,0,0,5,tracking,1
Good Behaviour of delivery man.,2,2,3,behaviour,2
Nice guy he given parcel at my door step also very helpful person,2,2,4,fallback_support,2
Very very well behaved,2,2,4,fallback_support,2
All good no problemo,2,0,4,fallback_support,0
Thanks you for perfect product,2,2,4,fallback_support,2
Morning contact ask delivery time,1,1,4,support,1
Best thanful friend ?,2,2,4,fallback_support,2
on the time delivery,2,2,4,fallback_support,2
Time to deliver my product,1,1,4,fallback_support,1
good by nature and fast in delivering,2,2,4,fallback_support,2
Nice ap ha,1,2,4,fallback_support,2
in this price the quality is very bad,0,0,4,fallback_support,0
Goodinformation,2,2,4,fallback_support,2
Every time whenever I ordered my order from amezon every time it's delivered with open product not give packing product my location pincode is 391165 please tack action,0,0,4,fallback_support,1
Diliver Ontime nice ???.,2,2,4,fallback_support,2
delayed by three days,0,0,0,delay,0
Fraud items send me,0,0,4,fallback_support,1
Its good and very comfortable also,2,2,4,fallback_support,2
Nice Sirvice,2,2,4,fallback_support,2
Kya ye log nhi manege ya FIR fill kru inke naam se kb tk frzi courier krte rhouge ye Mera parcel nhi h yr smja kro,0,0,4,fallback_support,1
Still not received the courier,0,0,2,damage_lost,0
All good. Delivery person is very polite and kind.,2,2,4,fallback_support,2
Hassle free deliveryGood behavior of logistic member,2,2,3,behaviour,2
One of the best courier service but only problem is that the product is lately shipped,1,0,0,delay,0
he delivered fast.,2,2,4,fallback_support,2
Perfect nice and timely delivered,2,2,4,fallback_support,2
Adar product,1,1,4,fallback_support,1
Very good Delivery I'm impressed thank you for fast delivered my order,2,2,4,fallback_support,2
The executive was really good thankyou,2,2,4,fallback_support,2
Man,1,1,4,fallback_support,1
THANKS A LOT..,2,2,4,fallback_support,2
Every time my order which has been given to bluedart it is delivered late...was supposed to arrive on 23may but received on 27th may...... unable to contact blue back..... please check,0,0,0,delay,0
No comments u r always the best,2,2,4,fallback_support,2
It is o. K,1,1,4,fallback_support,1
Decent service guy,2,2,4,fallback_support,2
Your service is good tnq time to time delivery,2,2,4,fallback_support,2
Polite behaviour of delivery personU guys r doing great job,2,2,3,behaviour,2
It?s chocolate and it?s totally melted,0,0,0,delay,0
worst dilivery partners and worst service,0,0,4,fallback_support,0
SHOULD BE IMPROVE,1,1,4,fallback_support,1
I had exchanged a shirt with snitch..your delivery boy called me..I want your return..I asked if you are blue-dirt..he said no I am from Flipkart..so I said there is no return from Flipkart...and got my order-4711762 cancelled. Now we will see what you do.,0,0,7,refund,0
Awesome delivery services provide by Blue Dart,2,2,4,fallback_support,2
Bzbs,1,1,4,fallback_support,1
Nothing to say excellent,2,2,4,fallback_support,2
I loved the service and polite courier man,2,2,4,fallback_support,2
Where is my other order which was supposed to be delivered today,0,0,4,fallback_support,1
Experience was good with Blue Dart and delivery too,2,2,4,fallback_support,2
Gentle & awesome,2,2,4,fallback_support,2
Very good behaviour. Good luck,2,2,3,behaviour,2
On time delivery and professional delivery agent.,2,2,4,fallback_support,2
Well organised in service,2,2,4,fallback_support,2
Happy with delivery..,2,2,4,fallback_support,2
Service is very good I dont have more to add,2,2,4,fallback_support,2
Atulya,1,1,4,fallback_support,1
Order is sitting like ducks in your blue dart office from 7 days...You not eevn get 1 star for this order...Please choose your delivery partners wisely...They dnt give Ckuf to customers...,0,0,4,fallback_support,1
Ok ass,1,1,4,fallback_support,1
There was no call from the courier boy and the courier was delayed for 2 days. I had to go to the office myself to pick up the courier.,0,0,0,delay,0
One of the best service provider,2,2,4,fallback_support,2
Better indication of approx time of arrival,1,1,4,fallback_support,1
Nice job ... keep it up,2,2,4,fallback_support,2
Amazing very nice,2,2,4,fallback_support,2
Kindly update the tracking status correctly. When Out for delivery it would be better if the contact details for delivery person are provided to customer so that we can atleast contact and confirm related to the delivery.,1,0,0,delay,0
The delivery guy insisted that I have to pay for the shipment,0,0,4,fallback_support,1
I have received best service,2,2,4,fallback_support,2
????? ??????? ?? ?? ????? ???,1,1,4,fallback_support,1
Better service I m happy your delivery agent,2,2,4,fallback_support,2
Very Fast Prompt Service,2,2,4,fallback_support,2
As shipment not received,0,0,2,damage_lost,0
Agent not wait for 10 min,0,0,4,fallback_support,1
All Better courier service,2,2,4,fallback_support,2
The person who did the delivery was well groomed and polite .,2,2,4,fallback_support,2
My order shows out for delivery for 2 days .no call no update.after checking in the portal it shows restriction area then I called the agent bcoz I have his number before he received and said it will be delivered by tomorrow I have your parcel with me. we are ordering something important to us and they put our parcel and delivered us as their own convience. And parcel was open partially,0,0,5,tracking,0
Very unprofessional service.,0,0,3,behaviour,0
Good delivery person. Information was in time.,2,2,4,fallback_support,2
Keep it Up..,2,2,4,fallback_support,2
I waited too for product which they were keep delaying it,0,0,0,delay,0
M jvicivih,1,1,4,fallback_support,1
MANOJ,1,1,4,fallback_support,1
The business is done with fraud stop doing business with them I ordered a mouse and was given a small cup of 5 rs,0,0,4,fallback_support,1
This delivery person was par excellence,2,2,4,fallback_support,2
Amazing delivery executive. Deserves a raise,2,2,4,fallback_support,2
Anytime with this delivery guy,2,2,4,fallback_support,2
Material and quality is very poor,0,0,4,fallback_support,0
Appreciated speed and therefore recommend Blue dart services,2,2,4,fallback_support,2
Please update the delivered status on the Titan website,1,1,4,fallback_support,1
Just keep it up like that.,2,2,4,fallback_support,2
Thanks to the Delivery boy Ahmed for reaching my home without any calling and directly handing over the parcel. He is very good delivery agent,2,2,4,support,2
Always pretend the person who is going to receive parcel is unavailable and most times they do not contact,0,0,4,support,1
Timely delivery and amiable delivery agent.,2,2,4,fallback_support,2
One day before notification of arrival time,1,1,4,fallback_support,1
Jisne deliver Kiya bahut hi siber banda hai. bahut hi smooth experience,2,2,4,fallback_support,2
Not delivered to the address.,0,0,4,fallback_support,0
Naaaaaa na,1,1,4,fallback_support,1
Your services are very prompt and quite reasonably good keep it up,2,2,4,fallback_support,2
Smooth and Nice delivery person Talk very politely Very good service,2,2,4,fallback_support,2
Mera comment delivery detected piece I will show the picture on product,0,0,4,fallback_support,1
Nothing much to tell ! ..But I will say that u serve your customer very beautifully with the assurance of product Thank You,2,2,4,fallback_support,2
Provide delivery boy number and exact date..,1,1,4,fallback_support,1
Good service and good dealing,2,2,4,fallback_support,2
To deliver taken very long time,0,0,4,fallback_support,1
While the delivery staff was perfect in performing his duty,2,2,4,fallback_support,2
Good and thank you blue dart ??,2,2,4,fallback_support,2
Worst product refund my money please,0,0,7,refund,0
Item on time ......pls improve your parcel tracking system,1,1,5,tracking,1
He was humble to handle the conversation.,2,2,4,fallback_support,2
Better and fast service the delivery boy delevers a fantastic service.,2,2,4,fallback_support,2
1day late delivery in website it show will be delivered one day before but i got after one day,0,0,0,delay,0
make perfect deliveries ?,1,2,4,fallback_support,2
Very fast delivery and good service..,2,2,4,fallback_support,2
From address is hiding by blue dart dont hide from adress some fake products through bluedart,0,0,4,fallback_support,0
Delayed and no clearity on when the delivery will happen,0,0,0,delay,0
Quality is not ok.. n name font is also not proper.. some letters are in large font n some in small..,0,0,4,fallback_support,1
Amazing and smooth delivery. Very polite and friendly delivery executive.,2,2,4,fallback_support,2
Tomorrow delivery today received,2,2,4,fallback_support,2
Blue dart courier is best,2,2,4,fallback_support,2
Great service from the team,2,2,4,fallback_support,2
Waiting from more then 7days for the parcel to be delivered. It has been delayed for more then 7 days. The delivery person didn't call to ask where  to deliver the parcel,0,0,0,delay,0
6gyfyf,1,1,4,fallback_support,1
Excellent work????? and,2,2,4,fallback_support,2
Very bad quality as per price,0,0,4,fallback_support,0
That's great ?,2,2,4,fallback_support,2
Don't know about your logistics service but the delivery guy is definitely a great guy,2,2,4,fallback_support,2
Staffs very courteous,2,2,4,fallback_support,2
Behaviour of delivery boy is not good. He talk with me rudely .,0,0,3,behaviour,0
Very poor and delayed delivery service,0,0,0,delay,0
Fast professional delivery,2,2,4,fallback_support,2
Very bad way of talking,0,0,4,fallback_support,0
My as-it-is mass gainer missing,0,0,4,fallback_support,0
Already better no change i want,2,2,4,fallback_support,2
The order is give different,0,0,4,fallback_support,1
It was late delivered,0,0,0,delay,0
Very fun delivery people,2,2,4,fallback_support,2
GoodSafe Cost effective,2,2,4,fallback_support,2
Very good delivery service and the delivery agents are very cooperating and well behaved,2,2,4,fallback_support,2
Extremely Fine.. Good and professional behavior of delivery boy..,2,2,3,behaviour,2
When your service is good there is no need to comment or idea .,2,2,4,fallback_support,2
Not delivered on the date mentioned in the message. Delayed for 2 days.,0,0,0,delay,0
Your service is the best I using first time online delivery and it made me easier and great Thank you so much ??..,2,2,4,fallback_support,2
I don't think so you need to be better I had great experience with you,2,2,4,fallback_support,2
Thank u bhaiya,2,2,4,fallback_support,2
It's a very worst delivery Service BLUE DART. it's a very very slow process any time all products are delivered delay delay and delay so it's a very boring service. Our delivery date was 25-05-25 and it was delivered on 28-05-25 behalf of many many requests and complent by customer care service. So it's a very very very WORST DELIVERY SERVICE,0,0,0,delay,0
Your rate very high.. online show 150-200 but ur price minimum 500 rs,0,0,4,fallback_support,1
Very good service and it is very rare that delivery partner is very good than other courier companies,2,2,4,fallback_support,2
Your delivery staff was not delivering in my address,0,0,4,fallback_support,1
they delivery boy was very good at communication & Location finding.,2,2,4,fallback_support,2
Very polite in nature nice guy,2,2,4,fallback_support,2
On 27-05-2025,1,1,4,fallback_support,1
Wrong product and wrong size,0,0,4,fallback_support,0
Delivery partner was very polite and well behaved and timely delivered.,2,2,4,fallback_support,2
Good delivery boyy.,2,2,4,fallback_support,2
Best service by amit bhadu,2,2,4,fallback_support,2
Product has not been received in the packet,0,0,4,fallback_support,1
Great service. Bhaiya (delivery agent) didn'd hesitate todeliver my package even in the rain.,2,2,4,fallback_support,2
0 service,0,0,4,fallback_support,1
Best delivery boys,2,2,4,fallback_support,2
Efficient and nice,2,2,4,fallback_support,2
Good job j,2,2,4,fallback_support,2
Delivery service is fantastic ?,2,2,4,fallback_support,2
Fast delivery polite attitude minimal calling,2,2,4,support,2
Do the hard work especially when you don't feel like it.,1,1,6,pricing,1
Good & extremely supportive staff.,2,2,4,support,2
Very nice to delivered thanks,2,2,4,fallback_support,2
Very nice and fast service The service provider's behavior is very nice,2,2,3,behaviour,2
Making us fool Messaging that Consignee was not available We are a big family and 24 hrs available Pathetic service Annoyed me like anything Worst worst service,0,0,4,fallback_support,0
It was not deliverd to me,0,0,4,fallback_support,1
always call to customer before coming,1,1,4,support,1
She ladies rider are smart they are follow up the customer properly they are communicating Custmor good,2,2,4,support,2
Good services and quick delivery,2,2,4,fallback_support,2
Gud job blue dart you so delivery 28/5/25 and well done ??,2,2,4,fallback_support,2
Im empires ur survis,1,1,4,fallback_support,1
Delivery boy are rude and not polite,0,0,3,behaviour,0
Good keep it,2,2,4,fallback_support,2
It was quick and awesome,2,2,4,fallback_support,2
Great last mile connectivity service. Staff was very courteous,2,2,4,fallback_support,2
Appropriate n good service . Thanks All the best !,2,2,4,fallback_support,2
Interaction with the delivery guy is good. Keep your work like this forever.,2,2,4,fallback_support,2
Product delivered 1 day late than date shown on website,0,0,0,delay,0
Wants to exchange this product,0,0,7,refund,0
Best service provide kotak mahindra Bank I am happy,2,2,4,fallback_support,2
I don't receive the package,0,0,4,fallback_support,1
I have not a suggestions for you because your company to good.,2,2,4,fallback_support,2
?excellent service,2,2,4,fallback_support,2
I was outside while shipment arrived. So I asked a photo for that . The delivery person not ready for that,0,0,4,fallback_support,1
Please take responsibility of delivery on time and don't mention false update about availability of consignee,0,0,4,fallback_support,2
Employ the better delivery person,1,1,4,fallback_support,1
Nice service center latehar,2,0,0,delay,0
Good service even in rain I got my books safe and secure,2,2,4,fallback_support,2
Delivery guy is good. But delivery not provided exact address. I had to drive 2km to collect my order.  Why showing home delivery option when you do not provide parcel at home.,0,0,4,fallback_support,2
The best performance,2,2,4,fallback_support,2
Everything was totally fine .,2,2,4,fallback_support,2
Whatever stuff came to me was brought very well and was delivered to my doorstep.,2,2,4,fallback_support,2
This time delivery is late for 2 3 days please try to be deliver on time.,1,0,0,delay,0
I appreciate that the product was delivered safely and on time. Thank you,2,2,4,fallback_support,2
Good gvcnncbhh,2,2,4,fallback_support,2
Very good very Best service ?,2,2,4,fallback_support,2
It's good ? products im happy and good package good service,2,2,4,fallback_support,2
not delivery in proper address,0,0,4,fallback_support,1
Delivery person isbon time and friendly,2,2,4,fallback_support,2
Delivery was good and love the product,2,2,4,fallback_support,2
Good mannarism,2,2,4,fallback_support,2
Delivery person was great always do delivery on time and polite in nature,2,2,4,fallback_support,2
They are giving such a good service,2,2,4,fallback_support,2
Achha nhi h or disara aaua h,0,0,4,fallback_support,2
It took 8 days to deliver my package...wrong information was published in tracking information,0,0,5,tracking,0
I would be better if we can get estimate time also.,1,1,4,fallback_support,1
Best gain,1,1,4,fallback_support,1
It was a pleasure shoping with your site.Everything was good till the delivery,1,2,4,fallback_support,2
Mxkdskdjdj,1,1,4,fallback_support,1
Nfne,1,1,4,fallback_support,1
excellence delivery man,2,2,4,fallback_support,2
Delivery Boy Best Services,2,2,4,fallback_support,2
Delivered Doc,1,1,4,fallback_support,1
Just let the delivery boys ask for the person in whose name the parcel is on delivery,1,1,4,fallback_support,1
Very good service ?????????????,2,2,4,fallback_support,2
Vary,1,1,4,fallback_support,1
The sender is absolutely a fake entity and the shipping label doesn? have the sender address,0,0,4,fallback_support,0
Cucucyuc,1,1,4,fallback_support,1
First time! Delivery person was so friendly and kind act. Polite and patience is necessary in work and he is very good at his task. Bingo? kalyaan kumar,2,2,4,fallback_support,2
Mujhe HDFC ka credit card nahin Mil Paya Hai,0,0,4,fallback_support,1
The partner was cooperative,2,2,4,fallback_support,2
Super first delivery shambhu da tqq???,2,2,4,fallback_support,2
Di always delivers on time,2,2,4,fallback_support,2
Delivery was very good and the delivery guy was nice to. I would like to add if you can add otp verifications while getting the parcel just to keep things transparent and fraud free from both the ends,2,2,4,fallback_support,2
Good luck 00000,1,2,4,fallback_support,2
He did not delivered prodect how can he mark prodect delivered this very bad and it is big mistake,0,0,4,fallback_support,0
Good Experience with Bluedart staff,2,2,4,fallback_support,2
I never received the parcel !!! But it is marked delivered,0,0,2,damage_lost,0
Nice service blue Dart,2,2,4,fallback_support,2
Very knowledgeable person. Did delivery very effectively,2,2,4,fallback_support,2
Very nice service not much calls and delivered safely at the location,2,2,4,support,2
I am orde mens ware but you give me ladies ware,0,0,4,fallback_support,1
I didn't receive anything. My address has been changed from Mogappair eadt to Nolambur long back. Updated my address in almost everything but dono ehich parcel is this. This happened few times ago as i am not available the parcel has been returned. They should have called me right.My number is same 9841312325. Please call me,0,0,7,refund,0
No one delivered the package to my residence. I had to go to your office and collect the package..,0,0,4,fallback_support,1
Years of trust...,2,2,4,fallback_support,2
All over experience was definitely good ???,2,2,4,fallback_support,2
Gud job iam happy,2,2,4,fallback_support,2
Tracking was very clearly updated,2,2,5,tracking,1
Already worked,1,1,4,fallback_support,1
Very good service. Bluedart is trustworthy,2,2,4,fallback_support,2
Very pleasent delivery agent!,2,2,4,fallback_support,2
Worst div,0,0,4,fallback_support,0
Product was delivered perfectly and delivery guy was very polite ?,2,2,4,fallback_support,2
Timed Delivery,2,2,4,fallback_support,2
Very bad services ok,0,0,4,fallback_support,0
Delevery boy is so simple and his behaviour is good ?.,2,2,3,behaviour,2
Service is good but the delivery was little late so work on that,1,0,0,delay,0
Thanks for delivered my order on time,2,2,4,fallback_support,2
easy fast delivery by brijesh,2,2,4,fallback_support,2
Good and reliable delivery !!,2,2,4,fallback_support,2
fasting delivery all the best,2,2,4,fallback_support,2
I recently received my doc and wanted to share that the delivery process was smooth and efficient. The doc arrived within the expected timeframe and in secure packaging. I appreciate the timely communication and tracking updates. Great service overall!,2,2,5,tracking,1
Behave properly with customer care number,1,1,4,support,1
Person call n took otp but parcel not delivered,0,0,4,support,0
I had Very good experience and the delivery man was also polite he just called once and I received with delivery on time.,2,2,4,support,2
His name was Samim Islam and he was a great guy. He called me many times and asked me to wait and I told him that I have an urgent work to do so. Please come after that particular time,1,2,4,support,2
Delivery staff well behaved and helpful,2,2,4,fallback_support,2
NOS,1,1,4,fallback_support,1
Easy delivery no hustle,2,2,4,fallback_support,2
