text,industry,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment,emotion,priority,primary_aspect_name
Good Behaviour of delivery man.,logistics,2,2,7,behaviour,2,1,0,service_quality
Nice guy he given parcel at my door step also very helpful person,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very very well behaved,logistics,2,2,7,fallback_support,2,1,0,service_quality
All good no problemo,logistics,2,0,7,fallback_support,0,1,0,service_quality
Thanks you for perfect product,logistics,2,2,7,fallback_support,2,1,0,service_quality
Morning contact ask delivery time,logistics,1,1,7,support,1,0,0,service_quality
Best thanful friend ?,logistics,2,2,7,fallback_support,2,1,0,service_quality
on the time delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
Time to deliver my product,logistics,1,1,7,fallback_support,1,0,0,service_quality
good by nature and fast in delivering,logistics,2,2,7,fallback_support,2,1,0,service_quality
Nice ap ha,logistics,1,2,7,fallback_support,2,0,0,service_quality
in this price the quality is very bad,logistics,0,0,7,fallback_support,0,3,2,service_quality
Goodinformation,logistics,2,2,7,fallback_support,2,1,0,service_quality
Every time whenever I ordered my order from amezon every time it's delivered with open product not give packing product my location pincode is 391165 please tack action,logistics,0,0,7,fallback_support,1,0,1,service_quality
Diliver Ontime nice ???.,logistics,2,2,7,fallback_support,2,1,0,service_quality
delayed by three days,logistics,0,0,0,delay,0,3,2,delivery_failures
Fraud items send me,logistics,0,0,7,fallback_support,1,4,3,service_quality
Its good and very comfortable also,logistics,2,2,7,fallback_support,2,1,0,service_quality
Nice Sirvice,logistics,2,2,7,fallback_support,2,1,0,service_quality
Kya ye log nhi manege ya FIR fill kru inke naam se kb tk frzi courier krte rhouge ye Mera parcel nhi h yr smja kro,logistics,0,0,7,fallback_support,1,0,1,service_quality
Still not received the courier,logistics,0,0,7,damage_lost,0,4,3,service_quality
All good. Delivery person is very polite and kind.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Hassle free deliveryGood behavior of logistic member,logistics,2,2,7,behaviour,2,1,0,service_quality
One of the best courier service but only problem is that the product is lately shipped,logistics,1,0,0,delay,0,0,1,delivery_failures
he delivered fast.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Perfect nice and timely delivered,logistics,2,2,7,fallback_support,2,1,0,service_quality
Adar product,logistics,1,1,7,fallback_support,1,0,0,service_quality
Very good Delivery I'm impressed thank you for fast delivered my order,logistics,2,2,7,fallback_support,2,1,0,service_quality
The executive was really good thankyou,logistics,2,2,7,fallback_support,2,1,0,service_quality
Man,logistics,1,1,7,fallback_support,1,0,0,service_quality
THANKS A LOT..,logistics,2,2,7,fallback_support,2,1,0,service_quality
Every time my order which has been given to bluedart it is delivered late...was supposed to arrive on 23may but received on 27th may...... unable to contact blue back..... please check,logistics,0,0,0,delay,0,3,2,delivery_failures
No comments u r always the best,logistics,2,2,7,fallback_support,2,1,0,service_quality
It is o. K,logistics,1,1,7,fallback_support,1,0,0,service_quality
Decent service guy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Your service is good tnq time to time delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
Polite behaviour of delivery personU guys r doing great job,logistics,2,2,7,behaviour,2,1,0,service_quality
It?s chocolate and it?s totally melted,logistics,0,0,0,delay,0,3,2,delivery_failures
worst dilivery partners and worst service,logistics,0,0,7,fallback_support,0,3,2,service_quality
SHOULD BE IMPROVE,logistics,1,1,7,fallback_support,1,0,0,service_quality
I had exchanged a shirt with snitch..your delivery boy called me..I want your return..I asked if you are blue-dirt..he said no I am from Flipkart..so I said there is no return from Flipkart...and got my order-4711762 cancelled. Now we will see what you do.,logistics,0,0,7,refund,0,4,3,service_quality
Awesome delivery services provide by Blue Dart,logistics,2,2,7,fallback_support,2,1,0,service_quality
Bzbs,logistics,1,1,7,fallback_support,1,0,0,service_quality
Nothing to say excellent,logistics,2,2,7,fallback_support,2,1,0,service_quality
I loved the service and polite courier man,logistics,2,2,7,fallback_support,2,1,0,service_quality
Where is my other order which was supposed to be delivered today,logistics,0,0,7,fallback_support,1,0,1,service_quality
Experience was good with Blue Dart and delivery too,logistics,2,2,7,fallback_support,2,1,0,service_quality
Gentle & awesome,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very good behaviour. Good luck,logistics,2,2,7,behaviour,2,1,0,service_quality
On time delivery and professional delivery agent.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Well organised in service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Happy with delivery..,logistics,2,2,7,fallback_support,2,1,0,service_quality
Service is very good I dont have more to add,logistics,2,2,7,fallback_support,2,1,0,service_quality
Atulya,logistics,1,1,7,fallback_support,1,0,0,service_quality
Order is sitting like ducks in your blue dart office from 7 days...You not eevn get 1 star for this order...Please choose your delivery partners wisely...They dnt give Ckuf to customers...,logistics,0,0,7,fallback_support,1,0,1,service_quality
Ok ass,logistics,1,1,7,fallback_support,1,0,0,service_quality
There was no call from the courier boy and the courier was delayed for 2 days. I had to go to the office myself to pick up the courier.,logistics,0,0,0,delay,0,3,2,delivery_failures
One of the best service provider,logistics,2,2,7,fallback_support,2,1,0,service_quality
Better indication of approx time of arrival,logistics,1,1,7,fallback_support,1,0,0,service_quality
Nice job ... keep it up,logistics,2,2,7,fallback_support,2,1,0,service_quality
Amazing very nice,logistics,2,2,7,fallback_support,2,1,0,service_quality
Kindly update the tracking status correctly. When Out for delivery it would be better if the contact details for delivery person are provided to customer so that we can atleast contact and confirm related to the delivery.,logistics,1,0,0,delay,0,0,1,delivery_failures
The delivery guy insisted that I have to pay for the shipment,logistics,0,0,7,fallback_support,1,0,1,service_quality
I have received best service,logistics,2,2,7,fallback_support,2,1,0,service_quality
????? ??????? ?? ?? ????? ???,logistics,1,1,7,fallback_support,1,0,0,service_quality
Better service I m happy your delivery agent,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very Fast Prompt Service,logistics,2,2,7,fallback_support,2,1,0,service_quality
As shipment not received,logistics,0,0,7,damage_lost,0,4,3,service_quality
Agent not wait for 10 min,logistics,0,0,7,fallback_support,1,0,1,service_quality
All Better courier service,logistics,2,2,7,fallback_support,2,1,0,service_quality
The person who did the delivery was well groomed and polite .,logistics,2,2,7,fallback_support,2,1,0,service_quality
My order shows out for delivery for 2 days .no call no update.after checking in the portal it shows restriction area then I called the agent bcoz I have his number before he received and said it will be delivered by tomorrow I have your parcel with me. we are ordering something important to us and they put our parcel and delivered us as their own convience. And parcel was open partially,logistics,0,0,4,tracking,0,3,2,tracking_updates
Very unprofessional service.,logistics,0,0,2,behaviour,0,3,2,agent_behaviour
Good delivery person. Information was in time.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Keep it Up..,logistics,2,2,7,fallback_support,2,1,0,service_quality
I waited too for product which they were keep delaying it,logistics,0,0,0,delay,0,3,2,delivery_failures
M jvicivih,logistics,1,1,7,fallback_support,1,0,0,service_quality
MANOJ,logistics,1,1,7,fallback_support,1,0,0,service_quality
The business is done with fraud stop doing business with them I ordered a mouse and was given a small cup of 5 rs,logistics,0,0,7,fallback_support,1,4,3,service_quality
This delivery person was par excellence,logistics,2,2,7,fallback_support,2,1,0,service_quality
Amazing delivery executive. Deserves a raise,logistics,2,2,7,fallback_support,2,1,0,service_quality
Anytime with this delivery guy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Material and quality is very poor,logistics,0,0,7,fallback_support,0,3,2,service_quality
Appreciated speed and therefore recommend Blue dart services,logistics,2,2,7,fallback_support,2,1,0,service_quality
Please update the delivered status on the Titan website,logistics,1,1,7,fallback_support,1,0,0,service_quality
Just keep it up like that.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Thanks to the Delivery boy Ahmed for reaching my home without any calling and directly handing over the parcel. He is very good delivery agent,logistics,2,2,7,support,2,1,0,service_quality
Always pretend the person who is going to receive parcel is unavailable and most times they do not contact,logistics,0,0,7,support,1,0,1,service_quality
Timely delivery and amiable delivery agent.,logistics,2,2,7,fallback_support,2,1,0,service_quality
One day before notification of arrival time,logistics,1,1,7,fallback_support,1,0,0,service_quality
Jisne deliver Kiya bahut hi siber banda hai. bahut hi smooth experience,logistics,2,2,7,fallback_support,2,1,0,service_quality
Not delivered to the address.,logistics,0,0,0,fallback_support,0,3,2,delivery_failures
Naaaaaa na,logistics,1,1,7,fallback_support,1,0,0,service_quality
Your services are very prompt and quite reasonably good keep it up,logistics,2,2,7,fallback_support,2,1,0,service_quality
Smooth and Nice delivery person Talk very politely Very good service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Mera comment delivery detected piece I will show the picture on product,logistics,0,0,7,fallback_support,1,0,1,service_quality
Nothing much to tell ! ..But I will say that u serve your customer very beautifully with the assurance of product Thank You,logistics,2,2,7,fallback_support,2,1,0,service_quality
Provide delivery boy number and exact date..,logistics,1,1,7,fallback_support,1,0,0,service_quality
Good service and good dealing,logistics,2,2,7,fallback_support,2,1,0,service_quality
To deliver taken very long time,logistics,0,0,7,fallback_support,1,0,1,service_quality
While the delivery staff was perfect in performing his duty,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good and thank you blue dart ??,logistics,2,2,7,fallback_support,2,1,0,service_quality
Worst product refund my money please,logistics,0,0,7,refund,0,4,3,service_quality
Item on time ......pls improve your parcel tracking system,logistics,1,1,4,tracking,1,0,1,tracking_updates
He was humble to handle the conversation.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Better and fast service the delivery boy delevers a fantastic service.,logistics,2,2,7,fallback_support,2,1,0,service_quality
1day late delivery in website it show will be delivered one day before but i got after one day,logistics,0,0,0,delay,0,3,2,delivery_failures
make perfect deliveries ?,logistics,1,2,7,fallback_support,2,0,0,service_quality
Very fast delivery and good service..,logistics,2,2,7,fallback_support,2,1,0,service_quality
From address is hiding by blue dart dont hide from adress some fake products through bluedart,logistics,0,0,7,fallback_support,0,3,2,service_quality
Delayed and no clearity on when the delivery will happen,logistics,0,0,0,delay,0,3,2,delivery_failures
Quality is not ok.. n name font is also not proper.. some letters are in large font n some in small..,logistics,0,0,7,fallback_support,1,0,1,service_quality
Amazing and smooth delivery. Very polite and friendly delivery executive.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Tomorrow delivery today received,logistics,2,2,7,fallback_support,2,1,0,service_quality
Blue dart courier is best,logistics,2,2,7,fallback_support,2,1,0,service_quality
Great service from the team,logistics,2,2,7,fallback_support,2,1,0,service_quality
Waiting from more then 7days for the parcel to be delivered. It has been delayed for more then 7 days. The delivery person didn't call to ask where  to deliver the parcel,logistics,0,0,0,delay,0,3,2,delivery_failures
6gyfyf,logistics,1,1,7,fallback_support,1,0,0,service_quality
Excellent work????? and,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very bad quality as per price,logistics,0,0,7,fallback_support,0,3,2,service_quality
That's great ?,logistics,2,2,7,fallback_support,2,1,0,service_quality
Don't know about your logistics service but the delivery guy is definitely a great guy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Staffs very courteous,logistics,2,2,7,fallback_support,2,4,3,service_quality
Behaviour of delivery boy is not good. He talk with me rudely .,logistics,0,0,2,behaviour,0,3,2,agent_behaviour
Very poor and delayed delivery service,logistics,0,0,0,delay,0,3,2,delivery_failures
Fast professional delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very bad way of talking,logistics,0,0,7,fallback_support,0,3,2,service_quality
My as-it-is mass gainer missing,logistics,0,0,7,fallback_support,0,3,2,service_quality
Already better no change i want,logistics,2,2,7,fallback_support,2,1,0,service_quality
The order is give different,logistics,0,0,7,fallback_support,1,0,1,service_quality
It was late delivered,logistics,0,0,0,delay,0,3,2,delivery_failures
Very fun delivery people,logistics,2,2,7,fallback_support,2,1,0,service_quality
GoodSafe Cost effective,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very good delivery service and the delivery agents are very cooperating and well behaved,logistics,2,2,7,fallback_support,2,1,0,service_quality
Extremely Fine.. Good and professional behavior of delivery boy..,logistics,2,2,7,behaviour,2,1,0,service_quality
When your service is good there is no need to comment or idea .,logistics,2,2,7,fallback_support,2,1,0,service_quality
Not delivered on the date mentioned in the message. Delayed for 2 days.,logistics,0,0,0,delay,0,3,2,delivery_failures
Your service is the best I using first time online delivery and it made me easier and great Thank you so much ??..,logistics,2,2,7,fallback_support,2,1,0,service_quality
I don't think so you need to be better I had great experience with you,logistics,2,2,7,fallback_support,2,1,0,service_quality
Thank u bhaiya,logistics,2,2,7,fallback_support,2,1,0,service_quality
It's a very worst delivery Service BLUE DART. it's a very very slow process any time all products are delivered delay delay and delay so it's a very boring service. Our delivery date was 25-05-25 and it was delivered on 28-05-25 behalf of many many requests and complent by customer care service. So it's a very very very WORST DELIVERY SERVICE,logistics,0,0,0,delay,0,3,2,delivery_failures
Your rate very high.. online show 150-200 but ur price minimum 500 rs,logistics,0,0,7,fallback_support,1,0,1,service_quality
Very good service and it is very rare that delivery partner is very good than other courier companies,logistics,2,2,7,fallback_support,2,1,0,service_quality
Your delivery staff was not delivering in my address,logistics,0,0,7,fallback_support,1,0,1,service_quality
they delivery boy was very good at communication & Location finding.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very polite in nature nice guy,logistics,2,2,7,fallback_support,2,1,0,service_quality
On 27-05-2025,logistics,1,1,7,fallback_support,1,0,0,service_quality
Wrong product and wrong size,logistics,0,0,7,fallback_support,0,3,2,service_quality
Delivery partner was very polite and well behaved and timely delivered.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good delivery boyy.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Best service by amit bhadu,logistics,2,2,7,fallback_support,2,1,0,service_quality
Product has not been received in the packet,logistics,0,0,7,fallback_support,1,0,1,service_quality
Great service. Bhaiya (delivery agent) didn'd hesitate todeliver my package even in the rain.,logistics,2,2,7,fallback_support,2,1,0,service_quality
0 service,logistics,0,0,7,fallback_support,1,0,1,service_quality
Best delivery boys,logistics,2,2,7,fallback_support,2,1,0,service_quality
Efficient and nice,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good job j,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery service is fantastic ?,logistics,2,2,7,fallback_support,2,1,0,service_quality
Fast delivery polite attitude minimal calling,logistics,2,2,7,support,2,1,0,service_quality
Do the hard work especially when you don't feel like it.,logistics,1,1,7,pricing,1,0,0,service_quality
Good & extremely supportive staff.,logistics,2,2,7,support,2,1,0,service_quality
Very nice to delivered thanks,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very nice and fast service The service provider's behavior is very nice,logistics,2,2,7,behaviour,2,1,0,service_quality
Making us fool Messaging that Consignee was not available We are a big family and 24 hrs available Pathetic service Annoyed me like anything Worst worst service,logistics,0,0,7,fallback_support,0,3,2,service_quality
It was not deliverd to me,logistics,0,0,7,fallback_support,1,0,1,service_quality
always call to customer before coming,logistics,1,1,7,support,1,0,0,service_quality
She ladies rider are smart they are follow up the customer properly they are communicating Custmor good,logistics,2,2,3,support,2,1,0,customer_support
Good services and quick delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
Gud job blue dart you so delivery 28/5/25 and well done ??,logistics,2,2,7,fallback_support,2,1,0,service_quality
Im empires ur survis,logistics,1,1,7,fallback_support,1,0,0,service_quality
Delivery boy are rude and not polite,logistics,0,0,2,behaviour,0,3,2,agent_behaviour
Good keep it,logistics,2,2,7,fallback_support,2,1,0,service_quality
It was quick and awesome,logistics,2,2,7,fallback_support,2,1,0,service_quality
Great last mile connectivity service. Staff was very courteous,logistics,2,2,7,fallback_support,2,4,3,service_quality
Appropriate n good service . Thanks All the best !,logistics,2,2,7,fallback_support,2,1,0,service_quality
Interaction with the delivery guy is good. Keep your work like this forever.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Product delivered 1 day late than date shown on website,logistics,0,0,0,delay,0,3,2,delivery_failures
Wants to exchange this product,logistics,0,0,7,refund,0,4,3,service_quality
Best service provide kotak mahindra Bank I am happy,logistics,2,2,7,fallback_support,2,1,0,service_quality
I don't receive the package,logistics,0,0,7,fallback_support,1,0,1,service_quality
I have not a suggestions for you because your company to good.,logistics,2,2,7,fallback_support,2,1,0,service_quality
?excellent service,logistics,2,2,7,fallback_support,2,1,0,service_quality
I was outside while shipment arrived. So I asked a photo for that . The delivery person not ready for that,logistics,0,0,7,fallback_support,1,0,1,service_quality
Please take responsibility of delivery on time and don't mention false update about availability of consignee,logistics,0,0,7,fallback_support,2,0,1,service_quality
Employ the better delivery person,logistics,1,1,7,fallback_support,1,0,0,service_quality
Nice service center latehar,logistics,2,0,0,delay,0,0,0,delivery_failures
Good service even in rain I got my books safe and secure,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery guy is good. But delivery not provided exact address. I had to drive 2km to collect my order.  Why showing home delivery option when you do not provide parcel at home.,logistics,0,0,7,fallback_support,2,1,1,service_quality
The best performance,logistics,2,2,7,fallback_support,2,1,0,service_quality
Everything was totally fine .,logistics,2,2,7,fallback_support,2,1,0,service_quality
Whatever stuff came to me was brought very well and was delivered to my doorstep.,logistics,2,2,7,fallback_support,2,1,0,service_quality
This time delivery is late for 2 3 days please try to be deliver on time.,logistics,1,0,0,delay,0,0,1,delivery_failures
I appreciate that the product was delivered safely and on time. Thank you,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good gvcnncbhh,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very good very Best service ?,logistics,2,2,7,fallback_support,2,1,0,service_quality
It's good ? products im happy and good package good service,logistics,2,2,7,fallback_support,2,1,0,service_quality
not delivery in proper address,logistics,0,0,7,fallback_support,1,0,1,service_quality
Delivery person isbon time and friendly,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery was good and love the product,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good mannarism,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery person was great always do delivery on time and polite in nature,logistics,2,2,7,fallback_support,2,1,0,service_quality
They are giving such a good service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Achha nhi h or disara aaua h,logistics,0,0,7,fallback_support,1,0,1,service_quality
It took 8 days to deliver my package...wrong information was published in tracking information,logistics,0,0,4,tracking,0,3,2,tracking_updates
I would be better if we can get estimate time also.,logistics,1,1,7,fallback_support,1,0,0,service_quality
Best gain,logistics,1,1,7,fallback_support,1,0,0,service_quality
It was a pleasure shoping with your site.Everything was good till the delivery,logistics,1,2,7,fallback_support,2,1,0,service_quality
Mxkdskdjdj,logistics,1,1,7,fallback_support,1,0,0,service_quality
Nfne,logistics,1,1,7,fallback_support,1,0,0,service_quality
excellence delivery man,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery Boy Best Services,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivered Doc,logistics,1,1,7,fallback_support,1,0,0,service_quality
Just let the delivery boys ask for the person in whose name the parcel is on delivery,logistics,1,1,7,fallback_support,1,0,0,service_quality
Very good service ?????????????,logistics,2,2,7,fallback_support,2,1,0,service_quality
Vary,logistics,1,1,7,fallback_support,1,0,0,service_quality
The sender is absolutely a fake entity and the shipping label doesn? have the sender address,logistics,0,0,7,fallback_support,0,3,2,service_quality
Cucucyuc,logistics,1,1,7,fallback_support,1,0,0,service_quality
First time! Delivery person was so friendly and kind act. Polite and patience is necessary in work and he is very good at his task. Bingo? kalyaan kumar,logistics,2,2,7,fallback_support,2,1,0,service_quality
Mujhe HDFC ka credit card nahin Mil Paya Hai,logistics,0,0,7,fallback_support,1,0,1,service_quality
The partner was cooperative,logistics,2,2,7,fallback_support,2,1,0,service_quality
Super first delivery shambhu da tqq???,logistics,2,2,7,fallback_support,2,1,0,service_quality
Di always delivers on time,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery was very good and the delivery guy was nice to. I would like to add if you can add otp verifications while getting the parcel just to keep things transparent and fraud free from both the ends,logistics,2,2,7,fallback_support,2,4,3,service_quality
Good luck 00000,logistics,1,2,7,fallback_support,2,1,0,service_quality
He did not delivered prodect how can he mark prodect delivered this very bad and it is big mistake,logistics,0,0,0,fallback_support,0,3,2,delivery_failures
Good Experience with Bluedart staff,logistics,2,2,7,fallback_support,2,1,0,service_quality
I never received the parcel !!! But it is marked delivered,logistics,0,0,7,damage_lost,0,4,3,service_quality
Nice service blue Dart,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very knowledgeable person. Did delivery very effectively,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very nice service not much calls and delivered safely at the location,logistics,2,2,7,support,2,1,0,service_quality
I am orde mens ware but you give me ladies ware,logistics,0,0,7,fallback_support,1,0,1,service_quality
I didn't receive anything. My address has been changed from Mogappair eadt to Nolambur long back. Updated my address in almost everything but dono ehich parcel is this. This happened few times ago as i am not available the parcel has been returned. They should have called me right.My number is same 9841312325. Please call me,logistics,0,0,7,refund,0,4,3,service_quality
No one delivered the package to my residence. I had to go to your office and collect the package..,logistics,0,0,7,fallback_support,1,0,1,service_quality
Years of trust...,logistics,2,2,7,fallback_support,2,1,0,service_quality
All over experience was definitely good ???,logistics,2,2,7,fallback_support,2,1,0,service_quality
Gud job iam happy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Tracking was very clearly updated,logistics,2,2,4,tracking,1,0,0,tracking_updates
Already worked,logistics,1,1,7,fallback_support,1,0,0,service_quality
Very good service. Bluedart is trustworthy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very pleasent delivery agent!,logistics,2,2,7,fallback_support,2,1,0,service_quality
Worst div,logistics,0,0,7,fallback_support,0,3,2,service_quality
Product was delivered perfectly and delivery guy was very polite ?,logistics,2,2,7,fallback_support,2,1,0,service_quality
Timed Delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very bad services ok,logistics,0,0,7,fallback_support,0,3,2,service_quality
Delevery boy is so simple and his behaviour is good ?.,logistics,2,2,7,behaviour,2,1,0,service_quality
Service is good but the delivery was little late so work on that,logistics,1,0,0,delay,0,1,1,delivery_failures
Thanks for delivered my order on time,logistics,2,2,7,fallback_support,2,1,0,service_quality
easy fast delivery by brijesh,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good and reliable delivery !!,logistics,2,2,7,fallback_support,2,1,0,service_quality
fasting delivery all the best,logistics,2,2,7,fallback_support,2,1,0,service_quality
I recently received my doc and wanted to share that the delivery process was smooth and efficient. The doc arrived within the expected timeframe and in secure packaging. I appreciate the timely communication and tracking updates. Great service overall!,logistics,2,2,4,tracking,1,1,0,tracking_updates
Behave properly with customer care number,logistics,1,1,3,support,1,0,0,customer_support
Person call n took otp but parcel not delivered,logistics,0,0,0,support,0,3,2,delivery_failures
I had Very good experience and the delivery man was also polite he just called once and I received with delivery on time.,logistics,2,2,7,support,2,1,0,service_quality
His name was Samim Islam and he was a great guy. He called me many times and asked me to wait and I told him that I have an urgent work to do so. Please come after that particular time,logistics,1,2,7,support,2,1,0,service_quality
Delivery staff well behaved and helpful,logistics,2,2,7,fallback_support,2,1,0,service_quality
NOS,logistics,1,1,7,fallback_support,1,0,0,service_quality
Easy delivery no hustle,logistics,2,2,7,fallback_support,2,1,0,service_quality
Well behaviour....nd on exact time... impressed ???,logistics,2,2,7,behaviour,2,1,0,service_quality
At time. Best staff,logistics,2,2,7,fallback_support,2,1,0,service_quality
Different product delivered ..and now there is no option of returning,logistics,0,0,7,refund,0,4,3,service_quality
The sender is absolutely a fake entity and the shipping label doesn?t have the sender? address,logistics,0,0,7,fallback_support,0,3,2,service_quality
Blue dart delivery staff very hard working excellent ? job,logistics,2,2,7,fallback_support,2,1,0,service_quality
Everything is excellent ??,logistics,2,2,7,fallback_support,2,1,0,service_quality
Whenever I am getting parcel from blue dart it is getting delivered 1 day prior to delivery date,logistics,2,2,7,fallback_support,2,1,0,service_quality
Service is excellent ?????,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good behaviour office worker,logistics,2,2,7,behaviour,2,1,0,service_quality
It's a wrong items I want to return it please. I asked for Oppo F27 and Samsung F34 5G phone cover,logistics,0,0,7,refund,0,4,3,service_quality
If timings of delivery could also be told in advance it would be best,logistics,1,1,7,fallback_support,1,0,0,service_quality
Maintain the service as it is at present.. good prompt service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery service is best .,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very Fast Service and Nice Delivery Boy,logistics,2,2,7,fallback_support,2,1,0,service_quality
All great - very professional and polite person,logistics,2,2,7,fallback_support,2,1,0,service_quality
Nice and fast and service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Thank you bro very ?,logistics,2,2,7,fallback_support,2,1,0,service_quality
Best delivery person Very polite and always on time,logistics,2,2,7,fallback_support,2,1,0,service_quality
On time despite heavy rains!,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good going & keep it up,logistics,2,2,7,fallback_support,2,1,0,service_quality
The delivery guy is polite and respectful and know the exact location thank you,logistics,2,2,7,fallback_support,2,1,0,service_quality
You have a good service facility.,logistics,2,2,7,fallback_support,2,1,0,service_quality
I need one item please send more Verity's item on my what's up account number,logistics,1,1,7,fallback_support,1,0,0,service_quality
Too fast delivery service and agents are well polite.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Poor delivery experience. Better teach ur delivery person some good way to talk,logistics,0,0,7,fallback_support,0,3,2,service_quality
SARVAN soni nahi he Saransh soni,logistics,1,1,7,fallback_support,1,0,0,service_quality
The parcel isnt delivered but I got the msg that it has been delivered will escalate & complaint about it further,logistics,0,0,0,delay,0,3,2,delivery_failures
Professional services.... Thank u,logistics,2,2,7,fallback_support,2,1,0,service_quality
Too delayed delivery,logistics,0,0,0,delay,0,3,2,delivery_failures
Be very friendly,logistics,1,1,7,fallback_support,1,0,0,service_quality
Wrost serives from Blue dart. I got my shipment 2 days late after . I went blue dart office and collect my shipment after waiting of 15 minutes.And amazing thing is that my address is only 4 km away from blue dart dispatch office.,logistics,0,0,0,delay,0,3,2,delivery_failures
It would be better if you deliver bit earlier like before 9 pm atleast.,logistics,1,1,7,fallback_support,1,0,0,service_quality
Lately Order delivered,logistics,1,0,0,delay,0,0,1,delivery_failures
Very excellent service. Keep it  up further,logistics,2,2,7,fallback_support,2,1,0,service_quality
Bewkuf bana diya,logistics,0,0,7,fallback_support,1,0,1,service_quality
Very good Sirvice,logistics,2,2,7,fallback_support,2,1,0,service_quality
PROMPT SERVICE. PRODUCT REACHED BEFORE TIME.. NO PHONE CALLSEXCELLENT SERVICE BY COURRIER BOY.,logistics,2,2,7,support,2,1,0,service_quality
Thank you so much for kotak Mahindra Bank servic,logistics,2,2,7,fallback_support,2,1,0,service_quality
I received the package in sealed condition.,logistics,2,2,7,fallback_support,2,1,0,service_quality
The service was very good. The lady I talked with was very respectful and comfortable so sweet of her a big than you to her love it,logistics,2,2,7,fallback_support,2,1,0,service_quality
Most likely will recommend,logistics,2,2,7,fallback_support,2,1,0,service_quality
When parcel is reqched destin and out for delivery assign a good person who know minimum to contact with customer,logistics,1,2,7,support,2,1,0,service_quality
You were excellent.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Excellent service and on time delivery as always. Keep it up guys! You're on the way to becoming a class leader.,logistics,2,2,7,fallback_support,2,1,0,service_quality
On time delivery in rainy season,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery staff behaviour is politely,logistics,2,2,7,behaviour,2,1,0,service_quality
V. V goo,logistics,2,2,7,fallback_support,2,1,0,service_quality
my sbi cradit card retun without my indformation why,logistics,0,0,7,fallback_support,1,0,1,service_quality
Excellent nature fast service it?s a good guy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good service as well as good behaviour of delivery staff.,logistics,2,2,7,behaviour,2,1,0,service_quality
Frod company,logistics,0,0,7,fallback_support,1,0,1,service_quality
Extent job blue dart osem,logistics,2,2,7,fallback_support,2,1,0,service_quality
It's already promt and timely delivered service,logistics,2,2,7,fallback_support,2,1,0,service_quality
